stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,355.61,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,1,0,10,2,3,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,2,42,647,0,2,0,2,9,0,2,5,183,0,1,0,0
 24-34,0,0,0,0.82,0.82,0.82,5.75,0,0.82,0,2.46,0,0,0,0,1.64,0,0.82,0,0,5.75,0,7.39,34.48,213.42,0,0,0,7.39,0,0.82,9.03,0,121.49,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,8.06,2.42,0.81,0.81,0,0,0,0.81,0,0,0,0,0,0,7.25,0,4.03,31.42,143.41,0,0,0,2.42,0,0,0.81,0,56.4,0,2.42,0,0
 48-58,0.57,0,0,0,0,0,8.03,0,0,1.15,1.15,0,0,0,0,0,0,0,0,0.57,21.23,0.57,1.15,18.36,75.17,0,0,0,0,0,0,0.57,0,34.43,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,2.94,0,0,0,0.98,0.98,0,0,0,0,2.94,0,0,0,25.52,2.94,0.98,16.69,43.19,0.98,0,0,2.94,0,0,0,0,5.89,8.83,1.96,0.98,0
 72-82,0,0,0,0,1.96,0.98,7.85,3.93,0,0,0.98,0.98,0,0,0,0.98,1.96,0,0,0,42.21,1.96,2.94,31.41,54.97,0.98,0,0,0.98,0,0,0,0,2.94,22.58,0.98,1.96,0
 84-94,1.06,0,0,0,2.12,0,6.37,1.06,0,1.06,1.06,0,0,0,0,0,0,0,0,0,28.68,2.12,1.06,8.5,67.97,0,0,0,3.19,0,1.06,0,0,5.31,33.99,0,0,0
 96-106,0,0,0,0,1.09,0,8.74,0,1.09,1.09,3.28,0,0,0,0,0,0,2.19,1.09,0,18.58,0,0,15.3,55.74,0,0,0,3.28,0,0,1.09,0,3.28,27.32,0,2.19,0
108-118,0.77,0,0.77,0,1.53,0,6.89,0,0,0.77,0.77,0.77,0,0,0.77,0.77,0,0,0,0,16.09,1.53,0,4.6,43.66,0,0,0.77,2.3,0,0.77,0.77,0,3.06,29.11,1.53,0.77,0.77
120,1.96,0,0,0,0,0,5.88,1.96,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,7.84,0,1.96,9.8,45.08,1.96,0,1.96,1.96,0,0,0,0,3.92,9.8,0,0,0
