stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.85,2741.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,7.89,0,42.06,0,0,0,21.03,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,315.45,34.17,0,0,149.84,0,2.63,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,15.73,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,239.17,9.44,0,0,176.23,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,37,4,0,22,0,0,3,2,0,0,0,0,0,0,0,19,0,0,6,170,0,3,0,3,0,0,0,16,0,2,18,48,0,0,1,0,0
 24-34,0,0,0,0.82,8.21,0,0,39.4,0.82,0.82,7.39,0.82,0,0,0,0.82,0,0,0.82,34.48,0.82,0,19.7,253.64,1.64,5.75,4.93,0,0,4.1,0,0,1.64,0.82,7.39,71.41,0,0,4.93,0,0.82
 36-46,0,0,0,0,2.42,0,0,43.51,0,0.81,9.67,0.81,0,0,1.61,0,0,0.81,0,20.95,1.61,0.81,5.64,127.3,0,1.61,0.81,0,0,7.25,0,0,0,0.81,0.81,38.67,0,0,2.42,0,0
 48-58,0,0,0,0,4.02,0,0,51.64,0,1.15,11.48,0,0,1.15,0,0,0,1.72,0.57,32.71,0,0.57,4.59,80.91,0,1.15,1.15,0,0,0,0,0,0,0,0,17.21,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,67.73,0,0,19.63,0,0,0,0.98,0,0,0,1.96,15.7,0,0.98,1.96,42.21,0,1.96,2.94,0,0,2.94,0,0,0,0,0,10.8,0,0.98,0,0,0.98
 72-82,0,0,0.98,0,3.93,0,0,35.34,0,0,13.74,0,0,0,0.98,0.98,0,0.98,0,33.38,0,0.98,2.94,44.17,0,0.98,4.91,0,0,0,0,0,0,0,0,6.87,0.98,0,1.96,0,0
 84-94,0,0,1.06,0,2.12,1.06,0,38.23,1.06,1.06,10.62,1.06,0,0,0,2.12,1.06,1.06,0,18.05,1.06,1.06,7.43,31.86,1.06,0,1.06,0,0,3.19,0,0,0,0,0,3.19,1.06,4.25,3.19,0,1.06
 96-106,0,0,0,0,2.19,0,0,26.23,0,0,7.65,3.28,0,1.09,1.09,2.19,0,4.37,0,13.11,0,1.09,5.46,28.41,0,2.19,1.09,0,0,2.19,0,0,0,0,0,0,2.19,0,4.37,1.09,0
108-118,0,0,0,0,5.36,0.77,0.77,16.85,0,0.77,12.26,3.06,0,0,2.3,3.06,0,0,0,9.96,0.77,0,8.43,47.49,0,2.3,2.3,0,0.77,4.6,0,0,0,0.77,0,0.77,0.77,0,0.77,1.53,0
120,0,0,0,0,0,3.92,0,13.72,1.96,0,11.76,3.92,0,0,0,0,0,0,1.96,5.88,0,0,7.84,50.95,0,5.88,0,0,0,5.88,0,0,0,0,0,1.96,0,0,3.92,1.96,0
