stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,0,0,10.51,0,0,0,0,5.26,0,0,0,0,47.32,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,6.29,0,0,0,0,3.15,0,0,0,0,81.82,6.29,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,6.57,0,0,0,7.39,0,0,0,2.46,1.64
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,0,0,0,0,0,0,0.81,5.64,0,0,0,4.83,0,0,0,0.81,0.81
 48-58,0,0,0,0.57,0,0,0,0,1.15,0.57,0,0.57,0,0,0,0,5.74,0,0,0,1.72,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,0,5.89,0,0,0,0,0,0,1.96,0,2.94,3.93,0,0,0,4.91,0.98,1.96,0,0.98,0
 72-82,0,0,0,0.98,0,0,3.93,0.98,0,0.98,0,0,0,0,0,0.98,1.96,0,0,0,1.96,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,4.25,1.06,0,0,0,0,0,0,0,1.06,2.12,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,1.96,7.84,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
