stage,axial,blastomeres,epidermis,eye,glial,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,1.09,0,0,0,0,1.09,0,0,4.37,0,1.09
108-118,0,0,0,0.77,0,0,0,0.77,0,0,1.53,0,2.3
120,0,0,3.92,0,0,1.96,1.96,0,0,1.96,0,0,1.96
