stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,7.89,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,15.73,12.59,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,17,0,17,8,0,0,1,0,0,0,18,0,2,55,2,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,4.93,0,0,0.82,0,0,67.31,0,22.16,15.6,0,0,0,0,0,0,0,0,3.28,11.49,3.28,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,3.22,0.81,0,0,0,0,77.34,4.83,17.72,14.5,0,0,0,0,0,0.81,0,0,1.61,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,2.3,2.87,1.15,0,0,2.3,0,0,57.38,4.02,13.2,4.02,0,0,0,0,0,0,0,0,0,0,2.87,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,1.96,0,0.98,0,0,84.41,5.89,15.7,7.85,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,3.93,0,0
 72-82,0,0,0,1.96,0,7.85,0,1.96,0,0,1.96,0,0,102.09,9.82,12.76,6.87,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0.98,2.94,1.96,1.96,0
 84-94,0,0,0,1.06,0,6.37,0,3.19,1.06,0,1.06,0,0,60.54,6.37,5.31,4.25,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,0,4.37,1.09,0,59.01,8.74,8.74,12.02,0,0,0,4.37,1.09,0,0,1.09,1.09,0,0,1.09,2.19,3.28,5.46,0
108-118,0,0,0.77,0,0,3.06,0,0,0,0,0,0,0.77,54.38,9.19,7.66,4.6,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,29.4,5.88,5.88,7.84,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,3.92,0
