stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,276.74,6549.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,349.39,4014.91,0,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,202.28,12.26,0,0,61.3,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,81.49,63.09,0,141.95,0,0,0,173.5,0,0,0,0,81.49,0,0,0,0,0,0,0,0,0,0,0,2223.89,57.83,0,0,1006.8,0,5.26,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,75.53,0,78.67,0,6.29,0,166.79,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1501.1,15.73,0,0,739.54,0,6.29,9.44,0,94.41,0,3.15,0,0,0,0,0
 14-21,0,1,0,13,76,35,0,71,0,0,26,3,0,0,1,6,0,0,0,0,73,0,0,48,892,10,3,15,31,0,8,1,95,6,70,269,0,0,5,0,1
 24-34,0.82,0,0,0.82,22.16,7.39,0,227.38,0.82,1.64,21.34,0.82,0.82,1.64,3.28,3.28,0.82,2.46,2.46,0,122.31,0,1.64,45.15,1127.86,1.64,5.75,11.49,0,0,10.67,0,0.82,1.64,9.03,210.14,0,0,13.13,0,3.28
 36-46,0,0,0,0,15.31,1.61,0,415.73,0.81,0.81,20.95,0.81,0,1.61,0.81,0,2.42,1.61,2.42,0,97.49,0,1.61,28.2,621.98,2.42,2.42,1.61,0,0,4.83,0,0.81,0.81,0,129.71,0,0,7.25,0,0
 48-58,0,0,0,0,13.2,0.57,0,405.68,0.57,1.72,26.97,1.15,0,1.72,2.3,0.57,1.72,1.15,0.57,0,110.17,0,4.59,26.97,234.69,0.57,1.72,2.3,0,0,1.72,0,0,1.15,0,35.58,0,0,2.3,0.57,1.15
 60-70,0,0,0,0,20.61,0,0,255.2,0.98,5.89,39.26,2.94,0,0,0,0,0,0.98,0,0.98,95.21,0,4.91,8.83,151.15,0,0,0,0,0,0.98,0,0,0,0,11.78,0,0.98,4.91,0.98,1.96
 72-82,0,0,0,0,8.83,0.98,0,92.28,0,4.91,33.38,3.93,0,0.98,2.94,5.89,1.96,0,0,0,100.13,0,5.89,14.72,124.67,0.98,2.94,1.96,0,1.96,1.96,0,0,0.98,0,1.96,1.96,0.98,7.85,1.96,1.96
 84-94,0,0,1.06,0,21.24,3.19,1.06,93.46,0,2.12,29.74,2.12,0,1.06,4.25,2.12,2.12,1.06,0,1.06,89.21,1.06,6.37,8.5,88.15,1.06,0,6.37,0,0,7.43,0,0,1.06,0,1.06,3.19,0,9.56,1.06,0
 96-106,0,0,0,0,15.3,4.37,0,73.22,1.09,2.19,28.41,1.09,0,3.28,8.74,1.09,1.09,0,2.19,0,78.68,0,2.19,8.74,80.87,0,1.09,9.84,0,0,9.84,1.09,0,0,0,5.46,0,0,4.37,3.28,1.09
108-118,0,0,0,1.53,16.09,8.43,3.06,68.17,0.77,3.06,26.04,4.6,0,0.77,6.13,2.3,3.06,0,1.53,0,58.98,0,2.3,9.19,104.17,2.3,3.06,3.83,0,0.77,6.89,0,0,0.77,0,0.77,1.53,0,9.19,2.3,0.77
120,0,0,0,0,21.56,9.8,1.96,64.67,1.96,0,33.32,1.96,0,1.96,13.72,1.96,3.92,1.96,0,0,60.75,1.96,0,11.76,107.79,3.92,5.88,7.84,0,0,5.88,0,0,0,0,3.92,0,0,7.84,1.96,0
