stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,120.92,5.26,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,3,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,47,0,3,0,0,0,2,1,2,0,27,0,0,0,0,0
 24-34,0,0,3.28,0,3.28,1.64,10.67,0,0.82,0,0.82,1.64,0,0,0,4.1,0,0,0,0,5.75,0,0,0.82,261.03,0.82,11.49,1.64,0,0,18.06,0,1.64,0,83.73,0,0,3.28,0,0
 36-46,0,0,0.81,0,2.42,0,50.76,0,0,0,5.64,0,0,1.61,0.81,3.22,0,0,0,1.61,4.03,0,0,4.83,532.55,0,13.7,1.61,0,0,12.09,0,1.61,0,145.83,0,0,1.61,0,0.81
 48-58,0,0,0,0,1.72,0,90.66,1.15,1.15,0.57,5.16,0,0,0,0,1.15,0,0,0,2.87,9.75,0,0,1.15,522.16,0,7.46,1.15,0,0,5.16,0,0,0.57,134.27,0,0,0.57,0,2.3
 60-70,0,0,0.98,0,0.98,0,295.44,0,0,1.96,21.59,0,0,0.98,1.96,0.98,0,0,0.98,0.98,14.72,0,1.96,1.96,677.25,0.98,11.78,0,0,0,4.91,0,0.98,0,113.86,0.98,0,0,0,0.98
 72-82,0,0,0,0,7.85,2.94,519.3,0,0.98,0.98,59.88,3.93,0,0,0.98,4.91,0.98,1.96,0,0,40.25,0,0,3.93,673.42,0,10.8,1.96,0,0,4.91,0,0.98,0.98,100.13,0.98,0,1.96,0,2.94
 84-94,0,0,4.25,0,6.37,4.25,338.79,0,0,1.06,41.42,6.37,0,0,1.06,2.12,1.06,1.06,2.12,4.25,25.49,2.12,3.19,2.12,394.02,1.06,7.43,10.62,0,0,18.05,0,1.06,0,62.66,0,0,1.06,2.12,1.06
 96-106,0,0,2.19,0,18.58,5.46,393.42,0,0,1.09,62.29,14.21,0,3.28,1.09,4.37,0,4.37,0,3.28,22.95,1.09,0,4.37,358.45,1.09,16.39,12.02,0,0,14.21,0,3.28,1.09,19.67,3.28,2.19,7.65,2.19,2.19
108-118,1.53,0,0.77,0,8.43,3.83,351.58,0,0,1.53,42.89,17.62,0,0,0.77,4.6,0.77,6.89,3.83,2.3,15.32,1.53,0,0.77,530.05,0.77,5.36,8.43,0,0.77,16.85,0,0,1.53,17.62,1.53,2.3,1.53,0.77,0.77
120,0,0,1.96,0,13.72,5.88,239.09,0,0,0,41.16,15.68,0,1.96,1.96,1.96,0,1.96,0,1.96,19.6,0,0,1.96,519.34,3.92,11.76,9.8,0,1.96,25.48,0,5.88,0,11.76,0,0,1.96,0,0
