stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,9,3,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,49,0,6,1,0,0,0,0,0,0,3,35,0,0,0,0,0
 24-34,0,8.21,0.82,2.46,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,2.46,0,0,2.46,239.69,0,45.97,4.93,0,0,0,0,0,0,0,63.21,0,0,0.82,0,0
 36-46,0,4.03,0,3.22,0,17.72,0,0,0,8.06,0,0,0.81,0,0,0,0,0,0.81,14.5,0,0,2.42,520.46,0,64.45,4.03,0,0,0.81,0.81,0,0,0,117.63,0,0,0,0,0
 48-58,0,4.02,0,3.44,0,78.04,0,0.57,0.57,19.51,0,0,0.57,0,0,0.57,0,0,0.57,30.99,0.57,0,3.44,677.66,0,39.02,4.02,0,0,0,0,0,0.57,0,126.81,0,0,0,0,0.57
 60-70,0,2.94,0,3.93,0,272.86,0,1.96,2.94,25.52,0,0,0.98,0,0,0.98,0,0,0,53.98,0,0.98,1.96,1198.44,0,42.21,5.89,0,0.98,1.96,0,0,0,0,139.38,0,0.98,1.96,0,0
 72-82,0,20.61,0,18.65,2.94,619.43,0,0.98,2.94,78.53,3.93,0,2.94,1.96,0,1.96,0.98,1.96,0,130.56,0.98,0.98,1.96,1256.53,0,91.29,6.87,0,0.98,0.98,0,1.96,0,0,156.08,1.96,7.85,4.91,2.94,0.98
 84-94,0,7.43,0,15.93,1.06,370.65,0,2.12,1.06,72.22,2.12,0,2.12,0,1.06,1.06,2.12,0,0,77.53,0,4.25,2.12,562.88,0,77.53,11.68,0,0,7.43,0,1.06,0,0,69.03,1.06,3.19,2.12,1.06,4.25
 96-106,0,9.84,0,22.95,0,477.57,2.19,4.37,1.09,100.54,5.46,0,3.28,4.37,1.09,7.65,1.09,2.19,0,87.43,0,4.37,2.19,593.42,0,140.98,15.3,0,0,0,1.09,1.09,0,0,45.9,5.46,0,2.19,2.19,1.09
108-118,0,11.49,0,13.02,2.3,313.28,1.53,3.06,0,62.04,3.83,0,0.77,0.77,0.77,1.53,0.77,3.06,1.53,61.28,0,1.53,6.89,614.3,0,72.77,3.83,0,0.77,5.36,0,2.3,0,0,32.17,1.53,2.3,2.3,1.53,0
120,0,7.84,1.96,23.52,0,239.09,0,5.88,1.96,58.79,3.92,0,1.96,1.96,0,1.96,0,1.96,0,47.03,0,1.96,3.92,636.93,1.96,60.75,15.68,0,0,0,0,0,0,0,43.12,1.96,1.96,3.92,1.96,0
