stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,24.52,606.83,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,13.14,31.54,0,0,26.29,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,281.27,5.26,0,0,155.09,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,6.29,18.88,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,207.7,12.59,0,0,75.53,0,3.15,3.15,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1,0,1,0,0,0,0,0,3,6,0,0,0,0
 24-34,0,0,0,0.82,2.46,19.7,0,0,0,0,0,0,1.64,0,0.82,0,0,0,12.31,0,0,3.28,174.84,0,0.82,0,0,0,4.1,0,0,2.46,35.3,0,0,1.64,0
 36-46,0,0,0.81,1.61,0,25.78,0,0,4.03,0.81,0,0,0.81,0,0,0,0,0,12.89,0,0,4.03,122.46,0,0.81,0.81,0,0,4.83,0,0.81,0,26.59,0,0,0.81,1.61
 48-58,0,0,0,3.44,0,35.58,0,0.57,9.75,0.57,0,0,3.44,0.57,0,0.57,0.57,0,21.8,0.57,2.3,1.15,67.71,1.15,0,0.57,0,0,2.3,0,0.57,0,11.48,0,0,2.87,1.72
 60-70,0,0,0,5.89,0,32.39,0.98,0.98,21.59,0.98,0,0,5.89,0.98,0.98,0.98,2.94,0,28.46,0,0.98,1.96,70.67,0,0,0.98,0,0,2.94,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,8.83,2.94,19.63,0,1.96,17.67,0.98,0,1.96,3.93,0.98,0.98,0,0,0.98,35.34,0,2.94,2.94,65.77,0,0,1.96,0,0.98,0.98,0,0,0,0.98,1.96,0,3.93,0
 84-94,1.06,0,0,8.5,3.19,16.99,0,0,15.93,3.19,0,0,11.68,1.06,0,0,0,1.06,21.24,1.06,2.12,2.12,46.73,0,1.06,1.06,0,0,4.25,0,3.19,0,0,0,1.06,4.25,0
 96-106,0,0,0,4.37,1.09,12.02,0,0,9.84,2.19,0,1.09,9.84,0,1.09,0,0,0,25.14,0,1.09,1.09,34.97,0,1.09,1.09,0,0,5.46,0,0,0,2.19,0,0,3.28,0
108-118,0,0,0,10.72,4.6,10.72,0.77,2.3,13.79,1.53,0,0,6.13,0.77,2.3,1.53,2.3,0,13.79,0.77,1.53,0.77,62.81,0,0.77,0,0,0,3.83,0,0,0,0,0,0,3.06,0
120,0,0,0,3.92,5.88,19.6,0,0,19.6,1.96,0,0,3.92,0,0,0,0,0,19.6,0,0,5.88,48.99,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
