stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,2.63,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.11,12.59,0,0,50.35,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,2,190,0,6,31,6,0,0,0,3,0,0,1,131,0,0,0,0,0
 24-34,0,0,0,0,0,0,11.49,0,0,0,12.31,0,0,0,0,0.82,2.46,0,0,5.75,0,0,5.75,774.07,0.82,8.21,18.88,0,0,0,0,0,0,0,0.82,239.69,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,120.04,0,0,0,21.75,0,0,0,0,0,0,0,0,12.89,0,0,1.61,1494.52,0,6.45,12.09,0,0,0,0,0,0,0,0,296.49,0,0,0.81,0,0
 48-58,0,0,0,0,4.02,0.57,406.83,0,0.57,0,49.92,0,0.57,0,0,0,1.15,0,0,15.49,0.57,0.57,1.72,1410.99,0,3.44,10.9,0,0.57,1.15,0,0,0,0,0,243.29,0,0.57,1.15,0,1.15
 60-70,0,0,0,0,0.98,0,1266.16,0,1.96,0,46.13,0,0,0.98,0,0,0,0,0.98,24.54,0,0.98,2.94,1587.12,0,2.94,9.82,0,0,2.94,0,0,0,0,0,179.62,0,0.98,1.96,0,0
 72-82,0,0,0,0,7.85,2.94,1231,0,0.98,2.94,56.94,0.98,0.98,2.94,0,0.98,0.98,0.98,0.98,44.17,0,0,0.98,1339.97,0.98,3.93,12.76,0,0.98,0.98,0,0,0,0,0,110.93,0,1.96,3.93,0.98,2.94
 84-94,0,0,1.06,0,16.99,2.12,694.57,0,0,1.06,49.92,1.06,2.12,1.06,0,2.12,0,0,0,20.18,0,2.12,2.12,574.56,0,1.06,14.87,0,1.06,2.12,0,0,0,0,0,66.91,1.06,6.37,3.19,1.06,0
 96-106,0,0,0,0,9.84,2.19,489.6,1.09,0,0,44.81,1.09,3.28,0,0,0,0,0,0,24.04,2.19,3.28,2.19,461.18,0,3.28,9.84,0,0,3.28,0,0,0,1.09,0,20.76,0,0,0,3.28,2.19
108-118,0,0,0,0,6.89,2.3,354.64,0,0.77,0.77,17.62,3.06,0.77,1.53,0.77,0,0,0.77,0,12.26,0.77,0,0.77,551.49,0,2.3,13.02,0,0.77,0.77,0,0,0,0,0,14.55,0.77,0,0,0,0
120,0,0,0,0,5.88,0,254.77,0,0,0,21.56,1.96,1.96,3.92,0,0,0,0,0,11.76,0,0,0,493.87,1.96,0,5.88,0,0,0,0,0,0,0,0,19.6,0,1.96,0,0,0
