stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,0,0,1,0,1,4,1,1,4,4,0,0,2,0,0
 24-34,0,0.82,0,0.82,0,8.21,0,0,0,0,0,0.82,0,0,0,2.46,1.64,0.82,0,4.1,27.91,0.82,0,0,0,0,0,0.82,0,0.82,12.31,0,0,10.67,0,0
 36-46,0,0,0,0,0,3.22,0.81,0,0.81,1.61,0,0,0,0,0,2.42,4.03,0,0,1.61,45.12,0,0,0,0,1.61,0,0,0,0,5.64,0,0,6.45,0,0
 48-58,0,0,1.15,0,0,21.8,0,0,0.57,12.05,0,0,0,0,0,1.72,3.44,0,0,0.57,35,0,0,0,0,0.57,0,0,0,0,11.48,0,0,4.02,0,0.57
 60-70,0,0,0.98,0,0,62.82,0.98,0,0.98,5.89,0,0.98,0,0,0,0.98,7.85,0,0.98,1.96,30.43,0,0.98,0,0,2.94,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0.98,0,0.98,0.98,0,60.86,0,0.98,0,5.89,0,0.98,0.98,0,0,0,14.72,0,0,0.98,32.39,0,0,0,0.98,0,0,0,0,0,3.93,0,0.98,3.93,0.98,0.98
 84-94,0,0,1.06,1.06,0,56.29,0,0,0,4.25,0,0,1.06,0,1.06,3.19,5.31,0,0,2.12,10.62,0,2.12,0,0,4.25,0,0,0,0,1.06,0,0,2.12,1.06,0
 96-106,1.09,0,2.19,1.09,0,36.06,0,0,0,3.28,0,1.09,0,0,0,0,10.93,0,1.09,1.09,8.74,0,1.09,0,0,4.37,0,1.09,0,0,1.09,0,0,6.56,1.09,0
108-118,0.77,0,2.3,0,0,42.13,0,0.77,0,4.6,1.53,0,0.77,0.77,2.3,1.53,5.36,0,0,0.77,10.72,0,0,0,0,2.3,0,0.77,0,0,0,0.77,0,2.3,0.77,0
120,1.96,0,7.84,0,1.96,58.79,0,0,1.96,1.96,0,0,1.96,0,0,0,3.92,1.96,1.96,0,15.68,0,0,0,0,3.92,0,0,0,0,3.92,0,0,5.88,0,0
