stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,8,79,13,0,26,0,1,0,9,5,7,3,0,4,0,0,0,0,38,0,0,47,383,66,2,3,17,0,9,60,9,2,50,113,0,0,2,0,0
 24-34,0,10.67,25.45,0,22.98,0,0,1.64,12.31,0,0,2.46,0.82,0.82,0,0.82,0,0,36.12,0.82,0.82,22.98,238.05,7.39,4.1,2.46,0,0,11.49,0,0,1.64,5.75,65.67,0,0,15.6,0,6.57
 36-46,0,4.03,12.09,0,53.17,0,0.81,0.81,9.67,0.81,0,0,0,0,0.81,0.81,0,0,44.31,0.81,0.81,9.67,251.37,3.22,1.61,3.22,0,0,5.64,0,0,0,0,86.21,0,0,3.22,0,1.61
 48-58,0,2.87,5.16,0,78.61,0,0,1.72,9.18,0,0,1.15,1.72,0,1.15,0.57,0.57,0,35.58,0,0.57,5.74,115.91,0,0.57,1.72,0,0,1.72,0,0,0,0,24.67,0,0,5.74,0,2.87
 60-70,0,1.96,2.94,0,53.98,0,1.96,0,13.74,0.98,0,1.96,0,0,1.96,0.98,1.96,0,49.08,0,2.94,3.93,72.63,0,0.98,3.93,0,0,2.94,0,0.98,0,0,18.65,0,0,2.94,0,0
 72-82,0,2.94,0,0.98,40.25,0,0,1.96,15.71,1.96,0,1.96,0.98,0,0.98,0,0.98,0,57.92,0,0.98,1.96,67.73,1.96,1.96,4.91,0,0.98,0.98,0,0,0,0,11.78,0,0,5.89,0,0.98
 84-94,0,6.37,0,0,35.05,1.06,0,2.12,6.37,3.19,0,0,1.06,0,4.25,1.06,7.43,1.06,49.92,0,4.25,9.56,48.85,0,1.06,3.19,0,3.19,5.31,0,1.06,0,0,8.5,0,0,5.31,0,0
 96-106,0,7.65,2.19,1.09,30.6,0,1.09,0,18.58,2.19,0,1.09,3.28,1.09,0,2.19,4.37,1.09,19.67,0,1.09,1.09,22.95,0,2.19,3.28,0,0,3.28,0,0,0,0,6.56,2.19,0,3.28,2.19,0
108-118,0,6.13,4.6,3.06,17.62,0,3.06,0,9.19,0.77,0,0,0.77,0,1.53,0.77,6.89,1.53,27.57,0,2.3,2.3,32.17,0.77,0.77,4.6,0,0.77,3.83,0,1.53,0,0,1.53,0,0.77,4.6,0,0
120,0,1.96,9.8,0,17.64,0,0,1.96,11.76,0,0,0,1.96,0,1.96,0,5.88,0,15.68,0,1.96,1.96,43.12,0,0,0,0,1.96,9.8,0,1.96,0,0,1.96,0,0,1.96,1.96,0
