stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,78.67,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,17,7,4,14,0,0,0,0,1,0,1,1,375,0,0,7,6,0,1,121,1,163,0,0,0
 24-34,0,0,6.57,0.82,5.75,15.6,5.75,0,0,0.82,2.46,0.82,2.46,3.28,104.25,0.82,0.82,6.57,0,0,0,119.84,0,56.64,0,0,0
 36-46,0,0.81,0.81,0.81,4.03,16.11,1.61,0,0.81,0,3.22,0,0.81,0,40.28,1.61,0,4.03,0,0.81,0,70.9,0,39.48,0,0,0
 48-58,0,0.57,0,0,3.44,8.03,0,0,0,1.72,1.72,0,4.59,0,6.31,0,0,2.3,0,0,0,42.46,0,7.46,0,0.57,0
 60-70,0,0.98,0,0,2.94,3.93,0,0,0,4.91,0.98,0,4.91,0,10.8,0,0,8.83,0,1.96,0,38.28,0,1.96,0,0,0
 72-82,0,1.96,0.98,0,5.89,1.96,1.96,0,0,14.72,0,0,9.82,0,6.87,0,0,33.38,0,0,0,60.86,0,2.94,0,0,0
 84-94,0,2.12,1.06,0,3.19,1.06,1.06,0,0,20.18,0,0,11.68,0,6.37,0,0,43.54,0,1.06,0,133.82,0,1.06,0,0,0
 96-106,0,3.28,5.46,1.09,8.74,2.19,2.19,1.09,0,39.34,2.19,0,2.19,0,5.46,0,0,55.74,0,2.19,0,145.35,0,1.09,0,0,0
108-118,0,1.53,2.3,0.77,2.3,0.77,3.83,0,0,22.21,1.53,0,7.66,0,11.49,0,0,45.96,0,1.53,0,121.02,0,2.3,0.77,0,0.77
120,0,0,0,1.96,5.88,0,5.88,0,0,21.56,0,0,5.88,0,5.88,0,0,33.32,0,0,0,52.91,0,0,1.96,0,0
