stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,6.57,0,0.82,0,2.46,0,0,0
 36-46,0,0,0,0,0,7.25,0,0.81,0,0,0,0,0,12.89,0.81,0.81,0,3.22,0,0,0
 48-58,0,0,0,0,0,29.84,0.57,0,0,0,0.57,0,0,35,0,0,0,5.16,0,0,1.15
 60-70,0,0,0,0.98,0.98,61.84,0,0.98,0,0.98,0,0.98,0,60.85,0.98,0,0,6.87,0,0,2.94
 72-82,0,0,0,0.98,0,130.56,0,1.96,0,0.98,0,0.98,1.96,54.97,0,0,0,8.83,0,0.98,23.56
 84-94,0,1.06,0,0,0,89.21,0,3.19,2.12,0,0,4.25,0,38.23,1.06,0,0,5.31,0,0,7.43
 96-106,0,0,0,4.37,0,76.5,0,3.28,0,1.09,0,1.09,0,48.09,0,1.09,0,2.19,0,0,24.04
108-118,0,0,0.77,0.77,1.53,42.13,0,0.77,1.53,2.3,0,3.06,0,32.94,0,0.77,0,2.3,0,0,13.02
120,0,0,0,3.92,0,58.79,0,1.96,1.96,1.96,0,1.96,1.96,54.87,0,0,0,3.92,1.96,0,7.84
