stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,10.51,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,0,1.72,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0,0,0,1.96,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
