stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,16,13,61,0,4,0,1,0,0,56,0,70,117,0,0,0,0,5,23,17,0,0,3,0,0
 24-34,0,0,2.46,0,5.75,0,6.57,0,0,0,0.82,16.42,1.64,8.21,11.49,0,0.82,0,0,4.1,0,8.21,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0.81,0,0,0,0,21.75,0,8.06,6.45,0.81,0,0,0,1.61,0,6.45,0,0,3.22,0,0
 48-58,0,0,0,0,25.25,0,1.15,0,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,216.92,0,2.94,0,0,0,0,1.96,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,477.09,0.98,15.71,0,0,0.98,0,5.89,0,0,17.67,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,2.12,2.12,292.06,1.06,14.87,0,0,0,0,5.31,0,1.06,20.18,0,1.06,0,3.19,0,0,0,0,1.06,0,1.06,0
 96-106,0,1.09,4.37,2.19,284.14,0,10.93,0,0,0,0,4.37,0,0,13.11,0,0,1.09,0,0,0,0,0,0,2.19,1.09,1.09
108-118,0,0,1.53,0,152.43,0.77,3.83,0.77,0,0,0,4.6,0,0.77,12.26,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0
120,0,0,1.96,1.96,92.11,0,7.84,0,0,0,0,3.92,0,0,15.68,0,0,0,0,0,0,0,0,0,1.96,1.96,0
