stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,47.61,1.64,0,0,14.78,0,0.82,0,0,0,0,0,0,7.39,0,0,0,4.1
 36-46,0,0,0,0,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0,86.21,0,0,0,37.87,0.81,0,0,0,0.81,0,0,0,16.92,0,0,0,8.06
 48-58,0,0,0,0.57,0,0,60.82,0,0,0,3.44,0,0.57,0,0,0,0.57,0,0,68.86,2.3,0.57,1.15,62.54,0.57,0.57,0,0,0.57,0,0.57,0,18.36,0,0,0,44.18
 60-70,0,0,0,0,0,0,130.54,0,0,0,2.94,0,0,0,0.98,0,0,0,0,37.3,3.93,0,0,224.77,0,0,0,0,0.98,0,0.98,0,29.45,1.96,0,0,26.5
 72-82,0,0,0.98,0.98,1.96,0,233.64,0,0,0,15.71,0,0,0,0,0.98,0,0,0,35.34,16.69,0,0.98,404.44,0,0,0,0,0,0,0.98,0,39.27,0,0,0,20.61
 84-94,0,0,0,5.31,0,0,272.94,0,1.06,1.06,8.5,1.06,0,0,1.06,0,1.06,0,0,64.78,11.68,0,0,229.4,0,0,0,0,1.06,1.06,1.06,1.06,23.36,3.19,0,2.12,18.05
 96-106,0,0,0,5.46,0,0,195.62,0,1.09,0,14.21,0,0,1.09,3.28,0,2.19,0,0,45.9,8.74,0,3.28,215.29,1.09,1.09,1.09,0,2.19,0,0,0,10.93,1.09,0,0,15.3
108-118,0,0,1.53,7.66,0.77,1.53,214.47,0.77,0,0,18.38,0.77,0,0,1.53,0,6.89,0,0,64.34,12.26,0,1.53,245.87,0.77,0.77,0.77,0,0,0,0,0,9.19,0,0.77,0,17.62
120,1.96,0,0,9.8,1.96,0,180.3,0,0,0,33.32,0,0,0,1.96,1.96,5.88,1.96,1.96,27.44,13.72,0,3.92,450.75,1.96,0,1.96,0,0,0,0,0,25.48,1.96,3.92,0,3.92
