stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,1,0,0,61,226,0,0,0,1,10,0,0,5,0,0,0,0,1,0,6,0,0,0,0,2,0,0
 24-34,0,0,0,4.1,197.01,0,0,0,0,2.46,0,0,8.21,0,0,0,0.82,9.03,0,37.76,0,0.82,0,1.64,2.46,0,0
 36-46,0,0,0,2.42,55.59,0,0,0,0,0.81,0,0,2.42,0,0,0,0.81,5.64,0,27.39,0,0,0,0,1.61,0,0
 48-58,0,0,0,1.72,63.12,1.72,0,0,0,1.72,0,0,1.15,0,0.57,0,0.57,9.18,0,12.62,0,0,0,0.57,1.15,0,0
 60-70,0,0,0,3.93,40.24,0.98,0,0,0.98,1.96,0,0,1.96,0,0,0,0.98,4.91,0.98,8.83,0,0,0,0,0,0,0
 72-82,0,0,0,4.91,130.56,0.98,0,1.96,0,2.94,0,0,0,0,0,0,2.94,9.82,0,8.83,0,0,0,0,0,0,0
 84-94,0,0,0,7.43,140.19,1.06,0,0,2.12,4.25,0,1.06,1.06,1.06,1.06,1.06,0,10.62,0,9.56,0,0,0,0,0,0,0
 96-106,0,0,0,9.84,127.86,0,0,0,3.28,0,0,0,0,0,1.09,1.09,6.56,15.3,0,4.37,0,0,0,3.28,0,0,0
108-118,0,0,0,14.55,147.06,4.6,1.53,0,7.66,0,0.77,5.36,1.53,0,0,0,0.77,6.89,0,3.83,0,0,0,3.83,0,0.77,0.77
120,0,0,0,17.64,133.27,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,9.8,1.96,0,0,0,0,0,0
