stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2082.11,36674.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647.24,0,0,0,0,0,0,0,0,0,0
  5-6,2684.78,31058.86,0,49.04,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0,0,766.2,79.69,0,0,239.06,0,827.5,0,0,0,0,0,0,0,0,0,0
  7-9,207.67,105.15,0,131.44,0,0,186.64,0,0,0,0,0,186.64,0,0,0,0,0,0,0,0,0,0,0,3246.46,176.12,0,0,1127.72,0,21.03,107.78,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,31.47,0,0,53.5,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,396.52,15.73,0,0,160.5,0,3.15,81.82,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,14,2,7,0,0,0,2,2,0,1,0,0,0,0,0,0,12,0,0,5,67,2,0,1,1,0,6,17,6,1,0,8,13,0,1,0,0
 24-34,0,0,0,1.64,1.64,0,18.88,0,0,0.82,4.93,2.46,0,0,0.82,0,0.82,0,0,0.82,12.31,0,0,12.31,154.32,0.82,0.82,1.64,0,0,8.21,0.82,0,0,0,0,24.63,0,5.75,0,0
 36-46,0,0,0,0,0.81,0,5.64,0.81,2.42,0.81,7.25,0,0,1.61,0,0.81,0,0,0,0,20.95,0,0,6.45,83.79,0,0.81,1.61,0,0,8.06,0.81,0,0,0.81,0,23.36,0,5.64,0,0
 48-58,0,0,0,0,2.87,0,16.07,0.57,0,0.57,5.74,0,0,1.15,0.57,0.57,0.57,0,0,0.57,29.26,0,1.72,6.89,76.32,0.57,1.15,3.44,0,0,2.87,0,0,0,0,0,12.62,0,4.02,0,0.57
 60-70,0,0,0,0,1.96,0,25.52,0.98,0.98,1.96,6.87,0,0,0.98,0.98,0,0,0.98,0.98,0,35.33,0,2.94,4.91,51.04,0,0,1.96,0,0.98,8.83,0,0,0,0,0,7.85,0,1.96,0,0
 72-82,0,0,0,0,1.96,1.96,31.41,0.98,0.98,0,9.82,0,0,0,0.98,0,0.98,0,0.98,0,33.38,0,2.94,9.82,54.97,0,0,2.94,0,0,1.96,0,0,0.98,0,0,6.87,1.96,3.93,0.98,0
 84-94,0,0,0,0,0,1.06,31.86,0,0,2.12,7.43,0,0,2.12,3.19,0,1.06,0,2.12,0,21.24,0,4.25,7.43,23.36,0,0,0,0,1.06,4.25,0,0,0,0,0,4.25,0,1.06,2.12,0
 96-106,0,0,0,0,3.28,1.09,9.84,0,0,3.28,5.46,0,0,1.09,0,0,0,0,0,0,33.88,0,3.28,0,31.69,0,1.09,3.28,0,0,3.28,0,0,0,1.09,0,2.19,1.09,3.28,1.09,0
108-118,0,0,0,0,3.83,0.77,3.83,0.77,0.77,0.77,2.3,0.77,0,0.77,0,0,0.77,1.53,0.77,0,16.85,0.77,1.53,0.77,17.62,0,0,1.53,0,0,1.53,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,0,13.72,0,0,1.96,5.88,0,0,0,1.96,0,0,0,1.96,0,25.48,1.96,0,3.92,27.44,1.96,0,5.88,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0
