stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,36,5,11,0,6,0,0,0,1,1,1,0,0,7,0,0,2,0,2,1,0,1,302,0,7,0,1,0,1,1,0,0,1,156,0,0,0,0,0
 24-34,0,2.46,12.31,3.28,1.64,0,16.42,0,1.64,0,1.64,0,0,0.82,0,24.63,0,0,8.21,0,3.28,2.46,0,1.64,933.31,0.82,22.16,0,0,0,1.64,0,0,0.82,1.64,333.27,0,0,4.93,0,0
 36-46,0,0.81,0.81,1.61,0,0,34.64,0,0,0,2.42,0.81,0,0.81,0,5.64,0,0.81,12.89,0,7.25,0,0,0,1583.95,0,16.92,0,0,0,3.22,0,0.81,0,0,390.75,0,0,6.45,0,0
 48-58,0,0,0,4.02,0.57,0,140.01,0.57,1.15,0.57,14.92,0,0,0.57,0,4.59,0,0,8.03,0.57,14.92,1.15,0.57,1.72,1401.81,0.57,13.77,0,0,0,0.57,0.57,0.57,0,0,278.87,0,0,1.15,0,1.15
 60-70,0,0.98,0,1.96,0.98,0,459.35,0,0.98,0.98,12.76,0.98,0,0,0,1.96,0,0.98,14.72,0,17.67,1.96,0.98,2.94,1836.43,0.98,24.54,0.98,0,0,3.93,0,0,0,0,221.82,0,0,1.96,0,0
 72-82,0,1.96,0,10.8,2.94,0,465.31,0,0.98,0.98,39.27,3.93,0,0.98,5.89,5.89,0,0.98,3.93,0,30.43,0,0,3.93,1299.72,0,50.06,1.96,0,0,0,0,0,0,0,107.98,0,0.98,2.94,1.96,0.98
 84-94,0,1.06,0,11.68,1.06,2.12,360.03,1.06,2.12,1.06,25.49,2.12,0,0,1.06,7.43,0,0,7.43,1.06,20.18,2.12,2.12,2.12,645.72,0,40.36,2.12,0,0,0,0,0,0,0,70.09,2.12,1.06,5.31,1.06,3.19
 96-106,0,3.28,0,16.39,0,0,289.6,1.09,0,0,39.34,5.46,0,1.09,1.09,3.28,1.09,2.19,2.19,0,22.95,2.19,2.19,1.09,515.82,0,72.13,1.09,0,1.09,5.46,0,0,2.19,0,28.41,5.46,0,1.09,1.09,0
108-118,0,2.3,0,7.66,1.53,1.53,200.68,0,0.77,0,22.21,4.6,0,0,0.77,5.36,0.77,0,9.19,0,14.55,0,0,0.77,612,0,49.02,3.06,0,1.53,1.53,0,0.77,1.53,0,20.68,24.51,0,3.06,0.77,0.77
120,0,1.96,0,7.84,5.88,1.96,154.82,0,0,0,35.28,0,0,0,5.88,3.92,0,0,11.76,0,17.64,0,0,0,650.65,0,25.48,0,0,0,1.96,0,0,0,0,17.64,11.76,0,0,5.88,0
