stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,22,3,0,0,0,2,4,1,5,11,4,0,0,1,0,0
 24-34,0,0,0.82,0.82,6.57,4.1,0,6.57,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0.82,0,6.57,2.46,0,4.1,52.53,1.64,2.46,2.46,0,27.09,0,0,1.64,0,13.13,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,1.61,0,6.45,2.42,0,0,3.22,0,0,0.81,0,0.81,0,2.42,0,0,7.25,1.61,0,1.61,60.43,0.81,4.83,0.81,0,15.31,0,0,0.81,0,19.34,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,0.57,0.57,0,14.35,3.44,0,1.15,9.18,0,2.3,1.15,1.72,1.15,0.57,1.15,0,1.15,14.35,2.3,0,2.87,70,0,2.3,3.44,0,11.48,0,1.15,1.72,0,21.8,0,0,2.87,0,1.15
 60-70,0,0,0.98,0,8.83,3.93,0,28.46,4.91,1.96,1.96,12.76,0.98,0.98,0,0.98,2.94,0.98,0.98,0.98,0.98,39.26,2.94,0,1.96,106,0,5.89,3.93,0,24.54,0,1.96,5.89,0,11.78,0.98,0.98,0,0.98,0.98
 72-82,0,0,1.96,0,9.82,28.47,0,41.23,1.96,0,4.91,37.3,0.98,0.98,0,8.83,3.93,0,4.91,0,0.98,71.66,3.93,2.94,9.82,82.46,0.98,2.94,11.78,0,22.58,0,0,0,0,9.82,0,2.94,5.89,0,4.91
 84-94,0,0,0,0,7.43,26.55,0,26.55,5.31,2.12,6.37,18.05,2.12,0,1.06,3.19,4.25,0,2.12,0,0,41.42,7.43,0,6.37,39.3,0,5.31,8.5,0,62.66,0,3.19,3.19,0,7.43,1.06,2.12,4.25,2.12,0
 96-106,0,0,1.09,0,12.02,27.32,0,39.34,5.46,7.65,1.09,24.04,4.37,0,2.19,6.56,2.19,2.19,6.56,1.09,0,49.18,6.56,1.09,4.37,64.48,1.09,8.74,28.41,0,33.88,0,1.09,5.46,0,6.56,1.09,2.19,4.37,2.19,2.19
108-118,0,0,0.77,0,12.26,10.72,0.77,21.45,14.55,5.36,2.3,20.68,2.3,0,1.53,6.89,6.13,3.06,6.89,2.3,1.53,38.3,3.83,1.53,4.6,63.57,0.77,3.83,13.02,0,42.89,0,0.77,9.96,0,4.6,1.53,0,3.83,4.6,2.3
120,0,0,1.96,0,21.56,17.64,0,25.48,25.48,11.76,3.92,21.56,5.88,0,0,11.76,7.84,1.96,7.84,7.84,0,45.08,1.96,3.92,9.8,133.27,1.96,1.96,21.56,0,66.63,1.96,3.92,9.8,0,1.96,0,0,5.88,1.96,1.96
