stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,42.91,521.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,23.66,23.66,0,23.66,0,0,105.15,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,591.46,18.4,0,0,262.87,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,44.06,0,6.29,53.5,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,695.48,15.73,0,0,292.67,3.15,3.15,34.62,0,0,0,0,0,0
 14-21,0,0,0,3,59,21,17,0,1,0,3,3,1,0,0,0,0,1,20,0,0,14,161,3,2,6,11,7,49,4,2,63,64,0,1,0
 24-34,0,0,0,0.82,5.75,0,8.21,0,0,0,1.64,0.82,0.82,1.64,0,1.64,0,0.82,11.49,0,0,2.46,42.68,0.82,2.46,0.82,0,3.28,0.82,0.82,0,4.1,16.42,0,0.82,0
 36-46,0,0,0,0,4.03,0,9.67,0,0,0,0.81,0.81,0,0,0.81,0,0,0,10.47,0,0,3.22,24.17,0,0.81,1.61,0,1.61,0,1.61,0,0,3.22,0,0,0
 48-58,0,0,0,0,5.16,0,17.21,0,0,0,3.44,0,0,0,0,0,0,0,9.18,0.57,0.57,1.72,10.9,0,0.57,1.72,0,1.72,0,1.15,0,0,3.44,0,2.3,0
 60-70,0,0,0,0,0.98,0.98,7.85,0.98,0,0.98,2.94,0.98,0,0,0,0,0,0,5.89,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,1.96,0.98,9.82,0,0,0,4.91,0.98,0,0,0,0,0,0,3.93,0,0,0,3.93,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,1.06,4.25,0,0,0,0,2.12,0,0,1.06,0,0,0,4.25,0,1.06,1.06,1.06,0,1.06,2.12,0,2.12,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,0,2.19,2.19,2.19,0,0,0,1.09,2.19,0,1.09,0,0,0,0,2.19,0,0,0,2.19,1.09,1.09,7.65,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,0.77,1.53,0.77,0,0,0,1.53,0,0,0,0.77,0.77,0.77,0.77,1.53,0,0.77,0.77,1.53,0,0,0.77,0,0,0,0,0.77,0,0,0,0.77,1.53
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,5.88,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96
