stage,endocrine.pancreas,eye,glial,hatching.gland,immune,lateral.line,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,2.63,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,4.93,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,7.25,0,0,0,0
 48-58,0,2.3,1.15,0,0,0,0,0,8.03,0.57,0,1.72,0
 60-70,0,0,0,0,0,0,0,0,6.87,0,0,1.96,0
 72-82,0,0.98,0,0,0,0.98,0,0,10.8,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,3.28,0,0,0,0,1.09,1.09,4.37,0,0,1.09,0
108-118,0.77,0.77,0.77,0,0.77,0,0,0.77,3.06,0,0,0.77,0
120,0,1.96,0,0,1.96,0,0,0,3.92,0,0,0,0
