stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,207.7,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,34,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335,1,0,0,1,0,0,0,1,46,0,0,0,0
 24-34,0,0.82,5.75,0,5.75,0.82,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,338.19,2.46,8.21,0.82,0,0,0.82,0,0,45.15,0,0.82,0,0
 36-46,0,0,1.61,0,12.89,0,0,9.67,0,0,0,0,0,1.61,0,4.83,0,0,3.22,360.94,0.81,4.03,0.81,0,0,0.81,0.81,0,63.65,0,0,0,0
 48-58,0,0,1.15,0,40.17,0.57,1.72,14.92,0,0,0,0,0.57,0.57,0,14.92,0,0,3.44,354.04,1.15,1.15,1.15,0,0.57,1.15,0,0,45.9,0,0,0,0.57
 60-70,0,0,0,0.98,139.38,0,3.93,24.54,0,0,0,0,0,0.98,0,18.65,0,0,2.94,422.05,2.94,4.91,0,0,0,0,0,0,44.17,0,0,0.98,0.98
 72-82,0,0.98,5.89,0,169.83,0,4.91,33.38,0,0,0,0.98,0,0.98,0,60.86,0,0,2.94,376.96,0.98,1.96,2.94,0,0,0,0,0,14.72,0.98,0,0,0.98
 84-94,0,1.06,5.31,0,159.31,0,2.12,22.3,1.06,0,0,0,0,0,0,26.55,0,1.06,2.12,246.39,0,8.5,3.19,0,0,0,0,0,18.05,0,0,1.06,0
 96-106,0,1.09,2.19,0,86.33,0,2.19,24.04,2.19,0,1.09,0,0,2.19,1.09,33.88,1.09,0,3.28,174.86,1.09,16.39,2.19,0,0,0,0,0,4.37,1.09,1.09,0,0
108-118,0,1.53,1.53,0,72,0,2.3,20.68,0,0,0,0.77,0.77,0.77,0,45.19,0.77,0,4.6,220.6,0,10.72,0.77,0,0,0.77,0,0,4.6,0.77,0,0,3.83
120,0,0,5.88,0,60.75,0,0,13.72,0,0,0,1.96,0,5.88,0,29.4,0,0,0,205.78,0,7.84,1.96,0,0,3.92,0,0,5.88,3.92,0,0,0
