stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,1,0,22,0,0,0,0,0,0,0,0,4,0,0,16,37,0,0,139,1764,4,0,0,1,0,1,8,2,0,255,115,0,0,0,0,68
 24-34,0,0,0,0,14.78,0.82,0,31.19,0,0,1.64,7.39,0,0.82,0.82,0.82,14.78,0,0,13.13,194.54,0,0,322.6,3079.85,2.46,2.46,1.64,0,0,4.93,0.82,0,0.82,62.39,419.46,0,0,3.28,0,214.24
 36-46,0,0,0,0,3.22,0,0,20.95,4.03,0.81,4.83,120.04,0,0,0.81,0.81,16.11,0,0,1.61,322.27,0,0.81,174.83,2730.41,0.81,0,0.81,0,0,3.22,0,0.81,0.81,0.81,411.7,0,0,3.22,0,136.96
 48-58,0,0,0,0,9.75,0,0,73.45,1.72,0.57,2.87,269.69,0,0,2.3,0.57,26.97,1.15,0,1.15,297.8,0,1.72,146.89,1779.37,0.57,2.3,1.15,0,0,1.72,0,0.57,2.87,0.57,246.74,0,0,4.02,0,114.76
 60-70,0,0,0,0,4.91,0.98,0,59.87,4.91,0.98,1.96,213.97,1.96,0,0.98,0,37.3,0,0,0,217.9,0.98,0.98,118.76,1438.91,0,0,0.98,0,0,0.98,0,1.96,4.91,0,56.93,0,0.98,0,0,72.63
 72-82,0,0,0,0,9.82,7.85,0,138.41,1.96,0.98,0,208.11,0.98,0,0.98,0.98,43.19,0.98,1.96,0,297.44,0.98,0,165.9,1273.22,0,0.98,2.94,0,6.87,0.98,0,0,0,0,25.52,0,1.96,1.96,0,63.81
 84-94,0,0,0,0,32.92,3.19,1.06,177.36,1.06,2.12,0,164.62,0,1.06,5.31,1.06,74.34,1.06,0,0,225.15,0,5.31,156.12,912.29,1.06,1.06,3.19,0,2.12,1.06,0,3.19,0,0,29.74,0,1.06,3.19,1.06,74.34
 96-106,0,0,1.09,1.09,39.34,4.37,0,143.16,5.46,4.37,1.09,167.21,2.19,0,2.19,0,77.59,3.28,1.09,0,232.78,2.19,0,153,768.27,0,1.09,2.19,0,8.74,6.56,0,1.09,1.09,0,7.65,0,0,3.28,1.09,91.8
108-118,0,0,0,0,8.43,1.53,1.53,59.75,3.06,0.77,0.77,137.87,1.53,0,2.3,1.53,123.32,1.53,0.77,0,166.21,0,1.53,145.53,998.05,0.77,1.53,1.53,0,5.36,2.3,0,0.77,1.53,0,2.3,1.53,0.77,3.06,0,124.85
120,0,0,0,0,19.6,7.84,1.96,64.67,0,1.96,1.96,145.02,0,0,3.92,0,66.63,0,0,0,150.9,0,0,154.82,885.82,0,0,1.96,0,0,5.88,0,3.92,0,0,0,0,1.96,5.88,1.96,54.87
