stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,3.22,0,2.42,0,0,0,0,0,0.81,0,0,1.61,0.81,0
 48-58,8.61,0,2.3,0.57,0,0,0,1.15,0.57,4.59,0,4.59,0,0
 60-70,21.59,0.98,3.93,0,0,0,0,0,0,0.98,0,2.94,0,0
 72-82,38.28,0,2.94,0.98,0,0.98,0,1.96,0,0,0,1.96,0,0
 84-94,48.85,2.12,6.37,0,0,1.06,1.06,0,0,2.12,0,10.62,0,0
 96-106,71.04,1.09,6.56,0,2.19,1.09,0,1.09,0,2.19,0,18.58,0,0
108-118,75.83,0.77,13.02,0,1.53,0.77,0,0,0,3.06,0.77,13.79,0,1.53
120,60.75,0,9.8,0,1.96,1.96,0,0,1.96,1.96,0,13.72,0,0
