stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0,0,6,13,43,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,6.57,0.82,0.82,0,0,0,0,0,2.46,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,10.47,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,7.46,0.57,0,0,0,0,0.57,0.57,0,0.57,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,41.22,0,0.98,0,0,0,0,8.83,0.98,2.94,59.87,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,91.29,0,0,2.94,0,0,0,11.78,0.98,0.98,92.28,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
 84-94,0,2.12,0,45.67,0,0,3.19,0,1.06,0,6.37,2.12,0,37.17,0,0,0,0,0,0,0,0,1.06,1.06,1.06,2.12,0
 96-106,0,1.09,1.09,42.62,0,0,2.19,1.09,0,0,13.11,5.46,1.09,56.83,0,0,1.09,0,1.09,0,0,0,2.19,0,2.19,0,0
108-118,0,0,0.77,45.96,0,0,2.3,0,0,0,11.49,1.53,2.3,47.49,0,0,0,0,0.77,0,0,0,0.77,0,0.77,2.3,0.77
120,0,1.96,1.96,70.55,0,0,3.92,0,0,0,31.36,5.88,1.96,109.75,0,0,0,0,0,0,0,0,7.84,0,0,0,0
