stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,1,14,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,19,25,1,0,1,5,0,1,0,7,109,344,208,2,0,0,40,0,0
 24-34,0,0,4.1,0.82,16.42,9.03,0,11.49,215.06,0.82,0.82,2.46,0,2.46,1.64,0,0.82,6.57,0.82,0,101.79,0.82,0,63.21,174.84,2.46,2.46,7.39,0,0,4.1,0,0.82,81.26,230.66,206.86,22.16,0,0,185.51,0,1.64
 36-46,0,0,0,0,4.03,3.22,0,8.86,344.83,0,4.03,1.61,0,7.25,2.42,0,0,5.64,4.83,1.61,122.46,0,0,45.12,120.85,3.22,4.83,6.45,0,0,4.83,0,0.81,30.62,190.14,22.56,17.72,0,0,124.07,0.81,0.81
 48-58,0,0,2.3,0,1.72,0.57,0,40.17,359.78,1.15,18.36,10.33,0,14.92,12.05,0,0.57,3.44,9.18,0.57,249.03,0,0.57,47.05,143.45,3.44,5.16,8.03,0,0.57,4.59,0,0,27.54,130.83,0,25.25,0,2.87,110.74,0.57,0.57
 60-70,0,0,1.96,0.98,8.83,0.98,0,38.28,293.48,0.98,17.67,6.87,2.94,11.78,29.45,0,0.98,7.85,16.69,0,340.59,0,1.96,43.19,90.3,0,4.91,16.69,0.98,0.98,1.96,0,0,23.56,81.47,0,10.8,0,3.93,108.95,2.94,0.98
 72-82,0,0,4.91,2.94,11.78,4.91,5.89,63.81,215.97,0,16.69,7.85,9.82,14.72,32.39,0,0,14.72,48.1,0,423.1,0.98,2.94,36.32,123.69,0.98,1.96,28.47,0.98,0.98,3.93,0,0,27.49,53.99,0,2.94,2.94,5.89,185.53,9.82,3.93
 84-94,0,0,9.56,8.5,14.87,11.68,27.61,60.54,370.65,3.19,16.99,12.74,7.43,6.37,59.47,0,3.19,12.74,181.61,0,320.74,0,5.31,40.36,94.52,0,16.99,53.1,0,1.06,14.87,0,0,86.03,98.77,0,6.37,10.62,6.37,163.55,10.62,0
 96-106,1.09,0,9.84,16.39,33.88,18.58,25.14,73.22,545.33,4.37,15.3,24.04,32.79,18.58,63.39,4.37,2.19,28.41,288.51,0,255.73,1.09,4.37,43.71,125.68,3.28,29.51,62.29,1.09,6.56,21.86,1.09,0,61.2,97.26,0,3.28,36.06,10.93,189.06,7.65,7.65
108-118,0.77,0,6.89,19.92,23.74,4.6,36.77,45.96,410.56,0.77,11.49,7.66,27.57,6.13,39.06,2.3,3.06,13.02,422.81,0,217.53,0.77,3.83,39.83,88.85,0.77,13.02,42.13,0,3.83,10.72,0,0,65.87,93.45,0,1.53,33.7,1.53,136.34,7.66,3.83
120,0,0,3.92,5.88,23.52,7.84,21.56,21.56,237.13,0,3.92,9.8,9.8,5.88,43.12,3.92,0,7.84,194.02,0,119.55,0,0,43.12,66.63,5.88,7.84,41.16,0,0,5.88,0,1.96,39.2,37.24,0,0,19.6,1.96,80.35,1.96,0
