stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,645.13,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,838,0,4,0,6,0,0,5,1,0,0,5,0,1,0,0,5,3,0,4,15,1,1,1,0,0,48,1,3,8,3,10,0,0,1,0,0
 24-34,0,0,0,4.1,483.48,0,4.93,0,34.48,0,0,4.1,0,2.46,0.82,5.75,0,13.13,0,8.21,5.75,4.93,0.82,4.93,37.76,0,8.21,4.1,0,0,100.14,0,7.39,2.46,2.46,12.31,0,0,1.64,0,0.82
 36-46,0,0,0.81,0.81,182.08,0,3.22,0,37.87,0,0,0.81,0,0.81,4.83,2.42,0,7.25,0.81,11.28,4.83,4.03,0.81,0.81,24.98,0.81,8.86,4.83,0,0,86.21,0,1.61,0,0,10.47,0,0,4.83,0,2.42
 48-58,0,0,0,0.57,128.53,0,7.46,0,47.05,0,1.15,1.15,1.72,0,10.33,2.3,0.57,8.61,0.57,22.95,4.59,2.3,0,0,25.82,0.57,4.02,5.16,0,0,57.95,0,3.44,0.57,0,18.94,0,0,4.59,0,8.03
 60-70,0,0,0,0.98,155.08,0.98,4.91,0,43.19,1.96,0.98,3.93,0.98,0.98,8.83,4.91,0,12.76,0.98,12.76,11.78,3.93,0.98,0,16.69,1.96,9.82,10.8,0,0,54.97,0,0.98,0.98,0,6.87,0,0,3.93,0,10.8
 72-82,0,0,3.93,0,178.66,0,15.71,0,47.12,0,7.85,24.54,0.98,0.98,6.87,1.96,1.96,15.71,0,10.8,36.32,7.85,1.96,1.96,42.21,3.93,6.87,15.71,0,0,74.61,0,0.98,0,0,3.93,3.93,0.98,19.63,0,6.87
 84-94,0,0,2.12,0,293.12,1.06,13.81,1.06,99.83,1.06,3.19,30.8,2.12,0,28.68,16.99,6.37,16.99,3.19,33.99,18.05,6.37,5.31,0,20.18,2.12,18.05,11.68,0,0,184.79,0,4.25,0,0,1.06,11.68,0,13.81,0,11.68
 96-106,0,0,4.37,1.09,273.21,5.46,41.53,2.19,68.85,0,5.46,43.71,0,1.09,27.32,7.65,3.28,20.76,2.19,16.39,18.58,5.46,3.28,2.19,38.25,7.65,27.32,26.23,0,0,123.49,0,14.21,2.19,0,1.09,8.74,1.09,21.86,1.09,20.76
108-118,0,0,2.3,1.53,297.96,0,45.96,1.53,108,0,3.06,43.66,0,0.77,29.87,9.96,6.13,13.79,2.3,22.98,26.04,8.43,0.77,3.06,31.4,5.36,16.85,15.32,0,0.77,88.09,0,8.43,1.53,0,1.53,13.79,0.77,19.92,0.77,13.02
120,0,0,1.96,0,194.02,1.96,33.32,3.92,64.67,0,0,27.44,0,0,23.52,11.76,0,5.88,1.96,7.84,21.56,1.96,3.92,1.96,21.56,15.68,19.6,15.68,0,0,97.99,0,13.72,1.96,0,0,13.72,0,15.68,0,3.92
