stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,1.64,0,0,3.28,0,0,0,0,0,27.91,0,0,5.75,5.75,0.82,0,0,0,7.39,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,1.61,0,0,0,0,0,165.97,0,1.61,20.14,3.22,2.42,0,0,0,3.22,0.81,0,0,0,0,0,0,0.81
 48-58,0,0.57,0,0,4.02,0,0,2.3,1.72,0,1.15,0,0,0,0,0,193.37,0,0.57,29.26,10.9,0,0,0,0,2.3,0,0.57,5.16,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,4.91,0,0,0,0,0,0,0,0,223.79,0.98,0,18.65,14.72,0,0.98,0,0,3.93,0,0,2.94,0,3.93,0.98,0,0
 72-82,0,0,0,0,9.82,0,1.96,8.83,1.96,0.98,0.98,0,0,0,0,0.98,349.47,0,2.94,33.38,9.82,0,1.96,0,1.96,7.85,0,0,0.98,0,4.91,0,2.94,0
 84-94,0,0,0,1.06,21.24,0,1.06,4.25,2.12,0,0,1.06,0,0,1.06,0,270.82,0,5.31,26.55,7.43,0,0,0,0,16.99,0,0,3.19,1.06,8.5,0,10.62,0
 96-106,0,0,0,0,12.02,0,1.09,6.56,1.09,0,3.28,0,1.09,1.09,0,0,330.04,0,4.37,19.67,18.58,0,3.28,0,1.09,22.95,0,0,3.28,0,7.65,1.09,9.84,0
108-118,0,2.3,0.77,3.83,15.32,0,2.3,9.96,1.53,0,0.77,1.53,0,1.53,0,0.77,323.24,0,2.3,14.55,19.92,0,11.49,0,0,25.28,0,0,4.6,0,11.49,0,4.6,0
120,0,3.92,0,0,9.8,1.96,1.96,1.96,0,0,0,1.96,0,0,1.96,0,286.13,0,3.92,23.52,11.76,0,5.88,0,0,21.56,0,0,0,0,7.84,0,7.84,0
