stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,195,0,1,1,0,0,1,0,0,0,1,117,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,10.67,0.82,0,0,4.1,0,0,0,0,0,0,1.64,4.93,0,0,2.46,624.67,0,13.13,0,0,0,0.82,0,0,0,1.64,224.91,0,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,95.07,0,0,0.81,24.17,0,0.81,0.81,0,0.81,0.81,0,8.86,0,0,3.22,1381.72,0,19.34,0.81,0,0,2.42,0,0,0,0,334.35,0,0,0,0,2.42
 48-58,0,0,1.15,0,4.59,0.57,274.85,0.57,0,0,71.15,0,0.57,0.57,0,0,0.57,0,15.49,0,1.15,2.3,1499.93,0,11.48,0.57,0,0,1.15,0,0,0.57,0,304.69,0,0,1.15,0,2.3
 60-70,0,0,1.96,0,2.94,0,633.08,0.98,0,2.94,100.12,0.98,0.98,0,0,0,0,0,19.63,0.98,0.98,1.96,2026.84,0,13.74,0,0,0,0.98,0,0,0,0,259.12,0,0.98,0,0.98,3.93
 72-82,0,0,3.93,0,3.93,2.94,665.57,0,0,0.98,139.4,0,0,0,0,0,0.98,0,38.28,0,1.96,2.94,1517.65,0,20.61,2.94,0,0,0.98,0,0,0,0,137.43,0,0.98,0,1.96,2.94
 84-94,0,0,2.12,0,6.37,1.06,366.4,0,0,1.06,100.89,0,2.12,1.06,2.12,0,1.06,1.06,28.68,0,4.25,0,786.97,1.06,14.87,2.12,0,0,4.25,0,0,0,0,79.65,0,0,3.19,2.12,0
 96-106,0,0,0,0,10.93,0,275.4,1.09,0,2.19,84.15,0,1.09,0,0,1.09,2.19,0,20.76,0,0,1.09,639.32,0,22.95,2.19,0,2.19,6.56,0,0,0,0,33.88,1.09,0,0,4.37,0
108-118,0,0,1.53,0.77,7.66,2.3,229.02,0.77,1.53,0,83.49,2.3,0,0,2.3,0,0,0,17.62,0,0.77,0.77,776.69,0,13.79,3.06,0,0,3.06,0.77,0.77,0,0,20.68,0,0,1.53,1.53,0
120,0,0,0,0,5.88,1.96,152.86,1.96,0,0,82.31,1.96,1.96,0,1.96,0,0,0,7.84,1.96,0,3.92,711.4,1.96,9.8,1.96,0,0,1.96,0,0,0,0,21.56,0,0,1.96,0,0
