stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0,22.98,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0.81,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,1.72,0,0,0,1.72,0,0,0,0,0,11.48,0,0,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,16.69,0,0,0,0,0,0,0,2.94,0,14.72,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,53.99,0.98,0,0,3.93,0.98,0,0,3.93,0,25.52,0,0,0,0,0.98,0,0,0,0.98,0.98
 84-94,0,1.06,0,52.04,0,0,0,3.19,0,0,0,2.12,0,13.81,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,0,92.89,0,0,0,8.74,0,1.09,1.09,6.56,1.09,24.04,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,98.81,0,0.77,1.53,5.36,0,0,0,5.36,0,26.81,0.77,0,0.77,0,1.53,0,0,0.77,0,0.77
120,0,0,0,72.51,1.96,3.92,0,13.72,0,0,0,3.92,0,21.56,0,1.96,0,0,0,0,0,0,0,0
