stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,43,1,13,1,0,0,4,0,0,0,0,0,19,0,0,0,0,0
 24-34,0,0,1.64,1.64,0,0,8.21,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0.82,504.83,2.46,103.43,0.82,0,0,1.64,0,0,0,0,0.82,67.31,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,18.53,0,0,0,2.42,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,1471.96,0,116.82,0,0,0,0.81,0,0.81,0,0,0,161.94,0,0,0,0,0
 48-58,0,0,0.57,5.16,0,0,111.32,0,0.57,1.15,18.36,0.57,0,2.3,1.15,0,1.15,0.57,0,0.57,16.64,0,0.57,2.3,2262.51,0,75.17,1.15,0,0,3.44,0,0,0,0.57,0,220.34,0,0.57,0,0,1.72
 60-70,0,0,0,6.87,0.98,0,142.32,0,0.98,0,22.58,0,0,0,0,0,0,0.98,0,0,16.69,0.98,0,1.96,3313.62,0.98,72.63,0.98,0,0,5.89,0,0,1.96,0,0,247.34,0,0.98,1.96,0,6.87
 72-82,0,0,3.93,7.85,2.94,0.98,206.15,0.98,0,0.98,69.7,1.96,0,0,1.96,0,4.91,2.94,0.98,0,39.27,0,2.94,3.93,2447.28,0,121.73,7.85,0,1.96,2.94,0,0,0.98,0,0,115.84,0,0,3.93,1.96,3.93
 84-94,0,0,0,11.68,2.12,0,198.6,0,0,2.12,47.79,3.19,0,1.06,1.06,0,1.06,1.06,0,0,23.36,0,2.12,2.12,1246.83,0,150.81,3.19,0,0,11.68,1.06,0,1.06,0,0,69.03,1.06,4.25,2.12,1.06,0
 96-106,0,0,2.19,14.21,4.37,0,109.28,0,2.19,0,36.06,5.46,0,0,0,0,2.19,0,0,0,22.95,0,0,1.09,803.24,1.09,206.55,5.46,0,2.19,8.74,1.09,0,0,0,0,27.32,0,0,2.19,3.28,0
108-118,0,0,0.77,9.96,1.53,0,58.21,0,0.77,0.77,28.34,3.06,0,0,0,0,0,0.77,0.77,0,13.02,0,0.77,2.3,1021.79,0.77,120.26,5.36,0,2.3,3.06,0,0,0,0,0,16.85,3.83,2.3,0,0,0
120,0,0,0,11.76,1.96,0,76.43,0,3.92,0,31.36,3.92,0,0,1.96,1.96,0,0,0,0,11.76,0,1.96,1.96,932.86,0,88.19,3.92,0,1.96,3.92,0,0,0,0,0,15.68,0,0,0,0,0
