stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0.82,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,0,1.72,0,1.15,0.57,1.15,1.72,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,11.78,0,0.98,0,0.98,3.93,0.98,0,0,0,0
 72-82,0,0.98,0.98,0.98,0,15.71,0.98,1.96,0.98,0.98,7.85,0,0,0,0,0
 84-94,0,0,2.12,0,0,24.43,0,0,0,0,6.37,0,0,1.06,0,1.06
 96-106,0,1.09,1.09,0,0,40.44,0,2.19,3.28,1.09,9.84,0,0,0,0,2.19
108-118,0,2.3,0.77,2.3,1.53,40.6,0.77,0,2.3,0.77,5.36,0.77,0,0.77,0,0
120,0,7.84,1.96,1.96,0,50.95,0,3.92,3.92,3.92,15.68,0,0,0,0,1.96
