stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,40.91,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,28,44,0,0,0,0,0
 24-34,0,0,0,0.82,8.21,0,0,0,0,0,0,0,0,9.85,13.13,0.82,0,0,0,0,0,0,16.42,29.55,0.82,0,0.82,0,0.82
 36-46,0,0,0,0.81,12.89,0,0,0,0,0,0,1.61,0,5.64,2.42,0,0,0,0,0,0,0,9.67,6.45,0.81,1.61,0,0,0
 48-58,0,0.57,0,3.44,6.89,0,0.57,1.15,0.57,0,0,3.44,0,0,5.74,0,0,0,0.57,0,0,0,4.02,0,1.72,1.72,0.57,0,0
 60-70,0,0.98,0,2.94,11.78,0,0,0.98,0,0,0,10.8,0,6.87,5.89,0,0,0,0,0.98,0,0,1.96,0,3.93,0.98,0,2.94,0
 72-82,0,0.98,0,0.98,6.87,0,0,0,0,0,0,11.78,0,1.96,3.93,0,0.98,0,0,0.98,0,0,0,0,0,2.94,0,3.93,0.98
 84-94,0,1.06,2.12,6.37,13.81,0,1.06,0,0,0,0,18.05,5.31,0,3.19,0,0,0,0,0,2.12,0,3.19,0,0,3.19,0,9.56,0
 96-106,0,0,1.09,3.28,5.46,0,0,1.09,0,1.09,0,25.14,0,0,5.46,0,0,1.09,0,1.09,0,0,1.09,0,0,2.19,0,8.74,0
108-118,0,0.77,0.77,1.53,9.96,0.77,0,0.77,0,0,0,9.96,1.53,2.3,3.83,0,0,0,0,0,0,0,0,0,0,4.6,0,5.36,0
120,0,0,0,3.92,7.84,0,0,0,0,0,1.96,15.68,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,9.8,0
