stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,28.92,0,102.52,0,0,0,126.18,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,825.42,10.51,0,0,270.76,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,179.38,0,3.15,0,169.94,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1573.48,25.18,0,0,346.17,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,28,765,16,0,5,15,0,2,5,1,7,0,1,0,0,0,0,103,0,0,19,130,10,10,2,3,0,2,37,0,35,16,45,0,0,7,0,0
 24-34,0,0,2.46,7.39,166.63,0.82,0,2.46,55,0,1.64,0,0,14.78,0,0.82,0,3.28,1.64,0,79.62,0,0.82,9.85,110.82,1.64,5.75,2.46,0,0,2.46,0,0,0.82,1.64,14.78,0,0,50.07,0,0
 36-46,0,0,0,0,35.45,0.81,0,5.64,24.98,0,1.61,3.22,0,17.72,0,0,0,6.45,4.03,0,91.04,0,0.81,0,57.2,0,0.81,1.61,0,1.61,0,0,0,0.81,0,4.03,0,0,79.76,0,0
 48-58,0,0,0.57,0,18.94,0.57,0,10.9,24.67,1.15,2.3,4.02,0,13.2,0,0,0,4.59,1.72,0.57,138.29,0,1.72,0.57,44.18,1.15,1.15,9.18,0,1.15,1.72,0,0.57,0.57,0,3.44,0,1.15,78.04,0,0.57
 60-70,0.98,0,0,0,21.59,0,0,5.89,22.58,0,8.83,17.67,0,13.74,0,0,0,6.87,0,0,207.1,0,4.91,1.96,55.95,1.96,1.96,16.69,0,1.96,3.93,0,0,0,0,0,0.98,2.94,75.58,0.98,0
 72-82,0,0,0,0,32.39,0.98,0,17.67,12.76,0.98,20.61,35.34,0,27.49,0,3.93,0,7.85,0.98,0,322.97,0,18.65,5.89,56.94,0,2.94,17.67,0,6.87,1.96,0,0.98,0,0,0.98,1.96,0.98,124.67,0.98,1.96
 84-94,0,0,0,0,62.66,0,0,30.8,28.68,1.06,11.68,66.91,0,20.18,0,3.19,1.06,4.25,0,0,183.73,2.12,12.74,4.25,38.23,0,2.12,22.3,0,5.31,4.25,0,4.25,1.06,0,0,1.06,2.12,107.27,3.19,0
 96-106,0,0,0,1.09,68.85,0,1.09,20.76,36.06,1.09,31.69,29.51,0,34.97,1.09,4.37,0,9.84,1.09,0,208.73,1.09,24.04,6.56,38.25,1.09,0,28.41,0,15.3,5.46,0,2.19,1.09,0,0,2.19,4.37,145.35,6.56,0
108-118,1.53,0,0,0.77,75.83,1.53,0.77,10.72,47.49,1.53,18.38,29.87,0,19.15,0.77,9.19,1.53,6.13,1.53,0,209.11,0,21.45,7.66,41.36,1.53,1.53,25.28,0,4.6,3.83,0,1.53,0,0,0,9.19,2.3,75.83,1.53,0
120,1.96,0,0,0,56.83,1.96,0,11.76,33.32,0,15.68,11.76,0,15.68,0,5.88,0,1.96,0,0,225.38,1.96,31.36,3.92,56.83,1.96,0,27.44,0,7.84,0,0,0,0,0,0,3.92,3.92,64.67,5.88,0
