stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,39,0,0
 24-34,0,0.82,0.82,3.28,0.82,0,0,0,4.1,0,0,0,0.82,0,0,0,0.82,9.85,0,0,0,1.64,0,1.64,0,241.33,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0,0,0,8.06,0.81,0,0,0.81,0,0,1.61,159.52,0,0
 48-58,0,0,0,0.57,1.72,0,0,0,1.72,0,0,0,0.57,0,1.72,0,1.15,8.03,0,0,0,0.57,0,0,2.3,117.06,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,8.83,0,0,0,0,0,0,0,88.34,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,3.93,0,0.98,0,0,0,0,1.96,146.27,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,0,0,0,0,0,0,1.06,0,1.06,2.12,7.43,0,0,0,1.06,0,0,0,164.62,0,0
 96-106,0,0,0,3.28,3.28,0,1.09,0,0,1.09,1.09,0,0,0,4.37,0,1.09,15.3,0,0,0,0,1.09,0,1.09,175.95,1.09,1.09
108-118,0,0,0,2.3,3.83,0.77,0,0,0,1.53,0,0.77,0,0,6.13,0,0,5.36,0,0,0,0,0.77,0,0,168.51,0.77,0
120,0,0,3.92,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,141.1,1.96,0
