stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,10,4,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,26,0,0,1,0,1
 24-34,0,0,0,4.93,0,0.82,0,41.86,0,0,0,0,0.82,1.64,0,0,0,0,1.64,0,0.82,0,0,328.34,0,14.78,0,0,0.82,0,0,0,77.98,0,0,8.21,0,0.82
 36-46,0,0,2.42,0,0.81,0,0,53.98,0,0,0.81,7.25,0,2.42,0,0,0,0,0.81,0.81,3.22,0.81,0,945.05,0,8.86,0,0,0,1.61,0,0,159.52,0,0,2.42,0,0
 48-58,0,0,2.3,0,0.57,1.15,0,145.75,0,0.57,2.3,36.15,1.15,0.57,0,0,0,0,1.15,0.57,19.51,1.15,2.3,1392.05,0.57,3.44,0.57,0,0,1.72,0,0,210.01,0,0,4.02,0,1.72
 60-70,0.98,0,0,0,0,1.96,0,362.18,0,0,0,58.89,0.98,0.98,0,0,0.98,0,2.94,0,29.45,3.93,0,1792.26,0,1.96,0,0,0,3.93,0,0.98,210.05,0,0,2.94,0,0
 72-82,0,0,4.91,0,13.74,3.93,0,662.62,0,0,0.98,78.53,3.93,0.98,0,0,0,0.98,0,0,56.94,4.91,1.96,1325.24,0,7.85,3.93,0,0,2.94,0,0,116.82,1.96,6.87,6.87,2.94,1.96
 84-94,0,0,4.25,2.12,12.74,1.06,1.06,491.72,0,0,0,52.04,8.5,3.19,1.06,0,0,0,1.06,0,24.43,8.5,2.12,622.35,0,3.19,2.12,0,0,4.25,0,0,61.6,0,3.19,3.19,1.06,1.06
 96-106,0,0,3.28,2.19,4.37,2.19,2.19,415.28,0,2.19,0,56.83,2.19,4.37,2.19,0,1.09,0,4.37,0,31.69,4.37,2.19,516.92,0,3.28,3.28,0,0,8.74,1.09,0,17.49,1.09,4.37,8.74,4.37,2.19
108-118,0,0,5.36,1.53,13.02,7.66,0.77,340.09,0.77,0.77,0,58.98,3.06,1.53,2.3,0.77,0.77,0,3.06,0,27.57,5.36,3.06,584.43,0.77,2.3,0.77,0,0,0,0,1.53,19.15,0,0,6.13,3.06,0.77
120,0,0,1.96,0,11.76,13.72,1.96,233.21,0,1.96,0,72.51,1.96,1.96,0,1.96,1.96,0,0,0,23.52,7.84,1.96,570.3,1.96,3.92,1.96,0,0,0,0,3.92,23.52,0,1.96,3.92,5.88,0
