stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1607.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,698.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,13.14,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,149.84,2.63,0,0,44.69,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,4,0,1,0,0,1,0,0,2,0,1,0,0,3,0,8,0,0,3,33,2,0,1,0,0,0,0,8,1,1,5,10,0,0,0,1
 24-34,0,0,0,2.46,0,0,2.46,0,0,1.64,0.82,0,0,0,4.1,0,0.82,0.82,0.82,2.46,0,0,3.28,52.53,0,0.82,0,0,0,1.64,0,0,0,0,0,15.6,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,5.64,0,0,4.83,0,0,0,0,0,0,0,0.81,0,4.03,0,0,1.61,41.89,0,2.42,0,0,0,4.03,0.81,0,0,0,0,12.89,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,11.48,1.15,0.57,4.59,0,0.57,0.57,0,0.57,0,0,0,0,6.89,0.57,0.57,1.72,20.66,0,1.72,0.57,0,0,0,0,0,0,0.57,0,5.16,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,31.41,0,0,7.85,0,0,0,0,0,0.98,0,0,1.96,12.76,0,0,0.98,61.84,0,1.96,0,0,0,0.98,0,0,0,0,0,6.87,0,0.98,0,0.98
 72-82,0,0,0,1.96,0,0,23.56,0,0,5.89,0,0,0,0,0.98,0,0.98,0,0,17.67,0,0.98,0,46.14,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,2.12,2.12,0,37.17,0,0,2.12,1.06,0,0,1.06,2.12,2.12,0,0,0,7.43,0,1.06,0,27.61,0,0,1.06,0,0,8.5,0,0,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,0,0,3.28,0,28.41,1.09,0,1.09,2.19,0,0,2.19,1.09,1.09,0,0,0,9.84,0,0,0,29.51,1.09,1.09,0,0,1.09,8.74,0,0,0,0,0,3.28,0,4.37,0,1.09
108-118,0,0,0,3.06,1.53,0.77,13.02,0.77,0.77,4.6,0,0,0.77,0.77,0.77,0,0,0.77,0,9.19,0,0,0,25.28,0,0.77,1.53,0,0,4.6,0,0,0,0,0,2.3,0,2.3,1.53,0.77
120,0,0,0,7.84,0,0,17.64,1.96,0,7.84,0,0,0,1.96,1.96,0,1.96,1.96,0,5.88,0,0,0,25.48,0,1.96,0,0,0,5.88,0,0,1.96,0,0,1.96,0,1.96,0,0
