stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,1,1,4,0,0,0,0
 24-34,0,0,0.82,2.46,0,0.82,0,0,0,2.46,0.82,0,0,0,0,0.82,0,0,81.26,0,0,0.82,0,0,13.95,0,0,28.73,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,4.03,0,0,0,0,0,0.81,0,0,170,0,0.81,0.81,0,0,4.83,0,0,54.79,0,0,0,0
 48-58,0,0,0,0.57,0,10.9,0,0,0,13.77,0,0,1.15,0,0,2.3,0,0,183.04,0,0,0,0,0.57,2.87,0,0,26.97,0,0,0,0
 60-70,0,0,0,0.98,0,16.69,0,0,0.98,16.69,0,0,0,0,0,8.83,0,0,444.63,0,0,0,0,0,0,0,0,16.69,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,51.05,0,0,0,18.65,0,0,0,0.98,0.98,20.61,0,0,531.08,0,0,0,0,0,0.98,0,0,20.61,0,0,0,0
 84-94,0,1.06,0,4.25,0,46.73,0,0,2.12,13.81,0,0,0,0,0,11.68,1.06,2.12,307.99,0,0,2.12,0,0,1.06,0,0,14.87,0,0,1.06,0
 96-106,0,1.09,0,5.46,2.19,30.6,0,1.09,0,12.02,0,0,0,0,0,12.02,0,0,299.44,1.09,1.09,1.09,0,0,0,0,0,7.65,1.09,0,0,1.09
108-118,0,0.77,0,7.66,0,18.38,0.77,0,0.77,7.66,0,0,0,0,0.77,5.36,0,0.77,281.11,0,0,0.77,0,0.77,1.53,0,0,7.66,0,0,0.77,0
120,0,0,0,7.84,0,29.4,0,1.96,0,11.76,0,0,0,0,0,19.6,0,1.96,378.24,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0
