stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,5.26,0,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,23,0,0,1,2,0,0,0,4,1,0,3,6,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,4.93,0,0,1.64,0,0,0,0,0,0.82,0,0,13.13,0,0,1.64,77.98,1.64,1.64,0.82,0,0,1.64,0,0,0,0,0,13.13,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,12.09,0,0,3.22,0,0,0,0,0,0,0,0,4.83,0,0,0,125.68,0,2.42,1.61,0,0,8.06,0,0,0,0,0,19.34,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,17.21,0.57,0,4.59,0,0,0,0.57,0,0.57,0.57,0.57,10.9,0,1.15,1.15,72.87,0,0,1.15,0,0,0.57,0,0,0,0,0,16.07,0.57,0,0,1.15
 60-70,0,0,0,0,4.91,0,16.69,0.98,0,3.93,0,0,0,0,0,0.98,0,0,11.78,0,0.98,0,56.93,0,0.98,0,0,0,3.93,0,0,0,1.96,0,7.85,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,32.39,0,0.98,7.85,0,0.98,0,0.98,0,0,0,0,14.72,0,0.98,1.96,56.94,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,2.94,0,0.98,0,0
 84-94,0,0,0,0,5.31,0,16.99,0,1.06,6.37,0,2.12,0,0,0,0,0,1.06,9.56,0,1.06,1.06,37.17,0,1.06,1.06,0,0,5.31,0,0,1.06,1.06,0,6.37,0,2.12,0,0
 96-106,0,0,0,0,3.28,1.09,8.74,0,0,3.28,0,0,0,2.19,0,0,0,0,14.21,1.09,1.09,2.19,38.25,0,1.09,0,0,0,5.46,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,4.6,0,18.38,0.77,0,3.83,0.77,0,0,0.77,0.77,1.53,0,0,13.02,0.77,0,1.53,37.53,0.77,0,1.53,0,0,3.06,0,0,0,0,0,0,0,3.06,0.77,0
120,0,0,0,0,1.96,0,3.92,1.96,1.96,5.88,0,0,1.96,0,0,0,0,0,7.84,0,0,1.96,47.03,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0
