stage,epidermis,eye,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,3,0,2,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0.81,0,0
 48-58,0.57,0.57,0,0.57,0,1.15,0,0,2.87,0,0.57,0.57
 60-70,0.98,0.98,0,0,0,0,0.98,1.96,1.96,0,0,0.98
 72-82,0,0.98,0,0,0,0,0,0,4.91,0,0,0.98
 84-94,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,0,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,1.53,0,0,0
120,0,1.96,0,1.96,0,0,0,0,5.88,0,0,0
