stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,mural.cell,neural,olfactory,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,5,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,36.94,1.64,0,0,10.67,0
 36-46,0,0,0,6.45,0,0,0,0,0,0,0,0,102.32,0,0,0,16.11,0
 48-58,0,0.57,0,13.2,0,0.57,0,0,0.57,0,0,0,123.37,0,0,0,18.36,0
 60-70,0,0.98,0,29.45,0,0,0.98,0,0,0,1.96,1.96,138.39,0.98,0,0,16.69,0
 72-82,0,0.98,0,23.56,0,0,0,0.98,0,0,0,0,114.85,0,0,0,5.89,0.98
 84-94,0,1.06,0,21.24,0,0,1.06,0,0,0,2.12,0,72.22,0,0,0,4.25,0
 96-106,0,2.19,0,19.67,0,0,4.37,0,0,0,2.19,0,52.46,0,0,0,4.37,0
108-118,0,0,0.77,9.19,0.77,0,1.53,0,0,0,0,0,57.45,0.77,0,0.77,0,0
120,0,0,0,3.92,0,0,7.84,0,0,0,1.96,0,48.99,1.96,0,0,1.96,0
