stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,49.95,2.63,0,39.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,110.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,2,7,3,1,0,0,0,15,1,8,49,10,0,0,0,0
 24-34,0,0,0,4.1,0,2.46,0,0,0.82,0,0,0,0.82,0,0,3.28,0,8.21,46.79,0.82,0,0,0,0.82,0,0,0,13.95,13.13,0,0,0,0
 36-46,0,0,0,2.42,0,1.61,0.81,1.61,3.22,0,0,0,0,0,0,8.86,0,6.45,55.59,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0,0.57,0,4.02,0,0,1.15,0,0,0.57,0,0,0.57,8.03,0.57,2.87,24.1,0.57,0.57,0,0,0,0,0,0,0,5.16,0,0.57,0,0
 60-70,0,0,0,0.98,0,6.87,0,0.98,1.96,0,0,0,0,0,0,11.78,0,1.96,25.52,0,1.96,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,2.94,0,0,0,0,0.98,0,15.71,0.98,0.98,10.8,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,1.06,0,1.06,0,4.25,0,0,1.06,0,0,0,1.06,0,0,5.31,0,3.19,6.37,0,4.25,0,0,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,1.09,1.09,2.19,0,0,0,0,0,0,9.84,0,1.09,4.37,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0.77,0.77,0.77,0,0.77,3.06,0.77,0,0,0.77,0,0.77,4.6,0,1.53,9.19,0,0,0,0.77,0,0,0,0,0,0.77,0,1.53,0.77,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
