stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,189,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,0,0,1,0,2,7,0,0,0,0
 24-34,0,0,0.82,1.64,427.67,0.82,59.92,32.01,2.46,0,0,0,0,0,0,0,0,3.28,0,0,111.64,7.39,0.82,0,0,0,0.82,0.82,0,6.57,31.19,0,0,0.82,0
 36-46,0.81,0,0,0,95.07,0,116.82,66.87,1.61,0.81,0,0,0,0,0,0,4.83,0,0,1.61,51.56,5.64,0,0,0,0,0.81,0,0,0,23.36,0,0,0.81,0
 48-58,0,0,0,0,18.94,0,118.2,70.58,1.72,0.57,0,0,0,0,0,0,5.74,0,0.57,1.15,13.2,0.57,0.57,0,0,0.57,1.72,0,0,0,16.07,0,0,0,0
 60-70,0,0,0,0,8.83,0,115.82,46.13,2.94,0.98,2.94,0,0,0,0,0,7.85,0,0,0,16.69,0,0,0,0,0,2.94,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0,8.83,0.98,100.13,60.86,0.98,0.98,0.98,0,0.98,0,0,0.98,14.72,0,4.91,0,16.69,0,1.96,0.98,0,0,0.98,0,0,0,7.85,0,0,0,0.98
 84-94,1.06,0,0,0,23.36,2.12,142.31,80.71,0,1.06,4.25,0,0,0,0,0,12.74,0,8.5,1.06,11.68,0,1.06,0,0,0,0,0,1.06,0,6.37,1.06,1.06,0,0
 96-106,0,0,0,0,39.34,0,121.31,57.92,1.09,0,6.56,0,3.28,1.09,1.09,0,18.58,0,8.74,0,8.74,0,0,2.19,0,0,2.19,0,0,0,5.46,0,0,0,2.19
108-118,0,0,0,0.77,32.17,0,94.21,68.17,0,0,6.13,0,3.83,0,0,0,13.79,0,5.36,0,11.49,0,1.53,0.77,0,0,2.3,0,0,0,0.77,0,0,0,2.3
120,0,0,0,0,31.36,0,84.27,52.91,0,0,3.92,0,3.92,0,0,0,27.44,0,0,0,15.68,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96
