stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,9,0,0,0,0,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,10,12,7,6,0,0,0,0
 24-34,0,0,4.93,0,1.64,4.1,1.64,0,0,10.67,0,0,0.82,0.82,5.75,0,0,0,0,0,2.46,0,0.82,3.28,0.82,20.52,3.28,0,0,0,0,11.49,1.64,1.64,19.7,0,0,0,0.82
 36-46,0,0,4.03,0,0.81,0,3.22,0,0.81,7.25,0,0,0,0,1.61,0,0,0,0.81,0,1.61,0,0,7.25,0,38.67,0.81,0,0,0,0,6.45,0.81,0,12.09,0,0,0,0
 48-58,0,0,1.15,0,1.15,0,3.44,0,0,8.61,0,0,0.57,0.57,0,0,0.57,0,2.87,0.57,0,0,0,9.18,0,24.67,1.15,0,0,0,0,2.87,0.57,0,13.77,0,0,0.57,0.57
 60-70,0,0,0.98,0,0.98,0,15.7,0.98,0,10.8,0,0,0,0,0.98,0.98,0.98,0,1.96,0,0,0,0.98,15.7,0,37.3,0,0,0.98,0,0,2.94,0,0,9.82,0,0,0,0
 72-82,0,0,3.93,0,0.98,0,7.85,0,0,13.74,1.96,0,0,0,0,0,0,0,0.98,1.96,0,0,0.98,13.74,0,64.79,0.98,0,0,0,0,11.78,0,0,4.91,0,0,0,0
 84-94,0,0,4.25,0,0,0,6.37,0,0,10.62,0,0,0,0,0,2.12,0,1.06,1.06,2.12,0,0,0,10.62,0,77.53,5.31,0,0,1.06,0,19.12,0,0,3.19,0,0,0,0
 96-106,0,0,3.28,0,2.19,0,7.65,1.09,0,9.84,4.37,0,0,0,2.19,3.28,0,0,1.09,1.09,0,1.09,0,14.21,0,108.19,5.46,0,0,0,0,19.67,0,0,3.28,0,0,0,0
108-118,0,0,3.06,0,0.77,0,5.36,0.77,0.77,5.36,0.77,0,0,0,0,2.3,3.06,0,0,1.53,0,0.77,0,9.96,0,58.98,8.43,0,0,0.77,0,17.62,0,0,0.77,0.77,0,0,0
120,0,0,5.88,0,0,0,5.88,0,0,3.92,0,0,0,0,1.96,1.96,0,1.96,0,1.96,0,0,1.96,11.76,0,35.28,5.88,0,0,3.92,1.96,5.88,0,0,1.96,0,3.92,0,0
