stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,2,25,10,0,27,0,0,0,3,2,0,1,0,0,0,0,0,1,10,0,0,9,199,2,0,2,5,0,43,4,6,37,65,0,0,2,0,0
 24-34,0,0.82,0,14.78,2.46,0,69.77,0,0,0,9.03,0.82,0.82,0,2.46,4.93,0,2.46,2.46,1.64,41.86,3.28,0,12.31,419.46,0,5.75,6.57,0,13.95,0,9.85,1.64,8.21,87.01,0,0,3.28,0,1.64
 36-46,0,0,0,4.03,0.81,0,33.84,2.42,0,0.81,8.06,0,0,0.81,0.81,0.81,0,0,2.42,0.81,21.75,0.81,0.81,2.42,220.75,0,2.42,0.81,0,5.64,0,4.03,2.42,0,53.98,0,0,2.42,0,0.81
 48-58,0,0,0.57,4.59,0.57,0,47.63,4.59,0,1.15,21.23,1.72,0,0.57,0.57,0.57,0,1.15,1.15,1.72,30.41,0.57,2.87,5.16,193.37,0.57,1.15,3.44,0,3.44,0,0.57,1.72,0,27.54,0,0,1.15,0,3.44
 60-70,0,0,0,6.87,0,0,87.36,0.98,1.96,0.98,19.63,11.78,0,0,0,5.89,5.89,1.96,3.93,0,44.17,0,2.94,9.82,218.88,0,3.93,4.91,0,12.76,0,4.91,3.93,0,21.59,0,0,6.87,0.98,0
 72-82,0,2.94,0,1.96,3.93,0,144.3,0.98,0.98,2.94,43.19,8.83,0,0,4.91,0,0.98,2.94,0.98,0,41.23,0.98,0.98,8.83,308.24,0,4.91,7.85,0,3.93,0,3.93,0.98,0,16.69,0,0,1.96,1.96,2.94
 84-94,0,1.06,0,6.37,3.19,0,58.41,1.06,0,2.12,12.74,3.19,0,0,4.25,3.19,2.12,2.12,2.12,0,32.92,1.06,1.06,7.43,112.58,0,2.12,3.19,0,23.36,0,3.19,0,0,7.43,0,2.12,11.68,2.12,0
 96-106,0,0,0,3.28,0,1.09,26.23,1.09,0,0,14.21,3.28,0,1.09,0,2.19,0,0,2.19,0,5.46,0,0,3.28,53.55,0,1.09,5.46,0,4.37,0,1.09,0,0,2.19,1.09,1.09,2.19,0,0
108-118,0,0,0,6.89,3.06,0.77,31.4,0.77,0,0,7.66,3.06,0,0,3.83,3.06,0,0.77,2.3,0,7.66,0,0.77,8.43,91.15,0,0.77,2.3,0,3.83,0,3.06,0,0,3.83,0,0,5.36,0,0
120,0,0,0,3.92,9.8,0,50.95,0,0,1.96,13.72,9.8,0,0,11.76,1.96,0,1.96,5.88,1.96,13.72,1.96,0,13.72,111.71,0,3.92,1.96,0,15.68,0,7.84,0,0,0,0,0,5.88,0,0
