stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,11,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,7,3,0,0,0,0,7,0,3,2,1,0,0,4,0,0
 24-34,0,7.39,0,2.46,0,2.46,0,1.64,0,0,4.1,0,0,0,0,0.82,0.82,11.49,0,0,5.75,22.16,1.64,0,0,0,0,39.4,2.46,0.82,0,7.39,0,0,10.67,0,0
 36-46,0,3.22,0,4.03,0,1.61,0.81,4.03,0,0,1.61,0.81,0.81,0,1.61,0.81,0.81,11.28,0.81,0.81,0.81,13.7,0.81,0.81,0.81,0,0,38.67,0.81,0,0,6.45,0,0,11.28,0,2.42
 48-58,0,7.46,0,8.03,0.57,3.44,2.3,4.02,0.57,0.57,3.44,0.57,0,0,0,0,0.57,23.53,0,0.57,2.3,9.75,0,0,1.72,0,0,27.54,1.15,0.57,0,8.61,0,0,16.64,0,4.02
 60-70,0,6.87,0,4.91,2.94,7.85,0.98,17.67,0,0,2.94,1.96,0.98,0,0,0,0.98,13.74,1.96,0,0.98,9.82,0,0,0.98,0,0,15.7,0,1.96,0,1.96,0,0,11.78,0,0
 72-82,0,9.82,0,10.8,0,5.89,2.94,18.65,3.93,0,4.91,3.93,0.98,0,0,0.98,0,39.27,1.96,0.98,6.87,13.74,0,0,2.94,0,0.98,24.54,1.96,0,0,0.98,0,1.96,20.61,0.98,1.96
 84-94,0,16.99,0,23.36,1.06,3.19,1.06,20.18,1.06,0,6.37,3.19,3.19,2.12,0,3.19,2.12,18.05,1.06,0,5.31,13.81,3.19,1.06,1.06,0,0,57.35,0,0,0,2.12,0,1.06,18.05,3.19,4.25
 96-106,0,14.21,0,15.3,1.09,4.37,0,18.58,0,0,3.28,3.28,3.28,1.09,1.09,0,1.09,28.41,2.19,0,1.09,12.02,3.28,2.19,0,0,0,62.29,0,1.09,0,1.09,0,4.37,25.14,5.46,1.09
108-118,0,21.45,0,26.81,0.77,3.83,0.77,15.32,5.36,0,1.53,3.83,0.77,2.3,0.77,1.53,1.53,22.21,3.06,0.77,0.77,8.43,0.77,0.77,0.77,0,0.77,40.6,0,4.6,0,0,1.53,1.53,12.26,1.53,3.83
120,0,15.68,0,9.8,0,3.92,0,7.84,3.92,0,0,3.92,0,0,0,7.84,0,19.6,1.96,0,1.96,11.76,0,1.96,0,0,1.96,50.95,3.92,0,0,1.96,0,0,21.56,0,0
