stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,2,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,0,0.82,6.57,0,0,0,0,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,5.64,0,0,0,0,2.42,0
 48-58,0,0.57,0,3.44,0,0.57,0,0.57,0,0.57,0,2.87,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0.77,0,0.77,0,0,0,0.77,0,0.77,0,0,0,0.77,2.3,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0
