stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,neural,paraxial_mesoderm,spinal_cord,taste,vasculature
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0.82,0,0,0,0,0.82,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,1.72,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,5.89,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,2.94,0,0.98,0,0
 84-94,0,0,1.06,1.06,0,0,0,5.31,0,0,1.06,1.06
 96-106,0,0,0,1.09,0,0,0,4.37,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,3.06,0,0,0,0
120,0,0,0,3.92,1.96,0,0,7.84,0,0,0,0
