stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,1,0,0,0,0,6,2,8,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,1.64,0.82,0,0,0,0,0,0.82,0,0,0.82,55,0.82,2.46,0,0,3.28,1.64,0,6.57,0,0.82,0,0
 36-46,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,0,86.21,0,3.22,0,0,2.42,0,0,12.09,0,0,0,0
 48-58,0,0.57,0,0.57,0,5.74,0,0,1.72,3.44,0,0,0,0,5.74,0,0,2.3,122.22,0,2.87,0.57,0,3.44,0.57,0,7.46,0,0,0,0
 60-70,0,0,0.98,0,0,12.76,0,0,1.96,9.82,0.98,0,0,0,2.94,0.98,0,0,211.03,0,0,0,0,3.93,1.96,0,11.78,0,0,0,0
 72-82,0,1.96,2.94,3.93,0,49.08,1.96,0,1.96,19.63,3.93,0,0,0,8.83,0.98,0.98,0.98,343.58,0.98,5.89,0,0,1.96,0,0,13.74,0,0.98,0,0.98
 84-94,0,2.12,3.19,1.06,0,45.67,2.12,0,2.12,6.37,0,0,0,2.12,9.56,0,0,0,155.06,0,1.06,0,0,3.19,1.06,0,4.25,1.06,1.06,0,1.06
 96-106,0,0,5.46,1.09,0,45.9,6.56,0,1.09,14.21,7.65,0,1.09,1.09,9.84,2.19,0,1.09,181.41,0,4.37,0,0,1.09,0,0,6.56,0,0,0,0
108-118,0,0.77,0.77,1.53,0.77,16.85,2.3,3.06,1.53,10.72,2.3,0,0,1.53,5.36,0,0,0,180,0,1.53,0.77,0,3.06,0.77,0,2.3,0,0.77,1.53,0
120,0,0,0,0,0,21.56,5.88,1.96,1.96,9.8,3.92,1.96,0,0,1.96,0,0,0,174.42,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0
