stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,21,2,11,0,0,0,3,1,1,0,0,1,0,0,1,0,6,0,0,1,106,2,0,1,1,0,1,7,0,6,34,0,0,0,0,0
 24-34,0,0.82,9.03,0,17.24,0,0,0,3.28,0,0,0,0,0,0,1.64,0.82,0.82,6.57,0,0,2.46,195.36,1.64,0.82,0.82,0,0,8.21,0,0,3.28,36.94,0,0,4.93,0,0
 36-46,0,0,7.25,0,19.34,0,2.42,1.61,5.64,0,0,0.81,0,0.81,0,0,0,0.81,7.25,0,0,0.81,95.87,0,1.61,1.61,0,0,9.67,0,0,0,16.11,0,0,1.61,0,0.81
 48-58,0,0,1.72,0,22.95,0.57,0.57,0,9.75,0.57,0,0,1.15,0,0,0,0.57,0,5.74,0,0,1.72,100.42,0,0.57,0,0,0,1.15,0,0,0,17.79,0,0,1.15,0,0
 60-70,0,0,7.85,0,32.39,0,0.98,2.94,12.76,1.96,0,0,0,0,0.98,0,0,0,12.76,0,0.98,1.96,78.52,0,0,0.98,0,0.98,8.83,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,2.94,0,28.47,0,0,0.98,6.87,0.98,0,0.98,0,0.98,0,0,0,0,24.54,0.98,0,0.98,72.64,0,0.98,0,0,0,7.85,0,0,0,2.94,0,0,1.96,0,0
 84-94,0,0,6.37,0,23.36,0,0,0,4.25,0,0,0,0,1.06,0,1.06,0,0,15.93,1.06,1.06,2.12,35.05,0,1.06,1.06,0,0,10.62,0,0,0,2.12,0,0,3.19,0,0
 96-106,0,0,6.56,1.09,17.49,1.09,1.09,0,7.65,0,0,0,1.09,0,0,1.09,0,0,20.76,0,1.09,2.19,41.53,0,0,0,0,0,7.65,0,0,0,2.19,0,0,0,1.09,0
108-118,0,0,3.83,0.77,9.19,0.77,2.3,0.77,7.66,0,0,0,0.77,1.53,0,0.77,0.77,0,13.79,0,0.77,0,40.6,0,1.53,0.77,0,0,3.83,0,0,0,1.53,0.77,0.77,0,0,0.77
120,0,0,17.64,0,15.68,0,3.92,0,3.92,1.96,0,0,0,0,0,0,0,0,11.76,1.96,1.96,5.88,62.71,0,1.96,5.88,0,0,11.76,0,1.96,0,0,1.96,0,5.88,0,0
