stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,34.17,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,32,0,0,0,2,0,5,4,0,5,26,0,0,0,1
 24-34,0,0.82,0,0,0,0,2.46,0,0,0,4.1,0.82,0,0,0,0,1.64,0,0.82,147.75,0,1.64,0,0,0,22.98,0,0.82,1.64,66.49,0,0,0.82,0
 36-46,0,0,0,0,0,0,9.67,0,0,0,2.42,0,0,0,0,0,4.03,0,0,505.96,0,0.81,0.81,0,0,20.14,0,0,0,101.51,0,0,0,0
 48-58,0,0,0,2.3,0,0,31.56,0,0,0,6.89,0,0,0,0,0,7.46,0,0,574.95,0,1.15,0,0,0,5.74,0,0,0,80.33,0,0,0,0
 60-70,0,1.96,0,0,0,0,131.52,0,0,0,16.69,0.98,0,0.98,0,0,18.65,0,0.98,1269.11,0,2.94,0,0,0,0.98,0,0,0,129.56,0,0,0.98,0
 72-82,0,3.93,0,5.89,0,0,198.3,0,0,0.98,26.5,0,0,0,0,0,20.61,0,2.94,817.72,0,4.91,0,0,0.98,2.94,0,0,0,67.73,0,0,0,0
 84-94,0,3.19,0,5.31,1.06,0,139.13,0,1.06,1.06,11.68,2.12,0,0,1.06,0,20.18,1.06,0,430.13,1.06,2.12,0,0,0,5.31,0,0,0,23.36,2.12,0,2.12,0
 96-106,0,7.65,0,2.19,1.09,0,86.33,0,1.09,0,7.65,1.09,0,0,0,1.09,9.84,0,0,344.25,0,4.37,1.09,0,0,2.19,0,0,0,10.93,0,0,0,0
108-118,0,2.3,0,3.06,0,0.77,85.02,0.77,0,0.77,6.89,1.53,0,0,0,0,14.55,0,0,364.6,0,3.06,0,0,0,2.3,0,0,0,13.79,0,4.6,0,0
120,0,0,0,5.88,0,0,54.87,0,0,0,9.8,0,0,0,0,1.96,7.84,1.96,0,378.24,0,1.96,0,0,0,0,0,0,0,17.64,0,0,0,0
