stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,3,2,0,4,10,0,0,0,0,0,0,0,0,0,2,221,1,0,0,0,0,0,0,1,140,0,0,0,0
 24-34,0,0,0,3.28,4.1,0,4.1,0,14.78,1.64,0,0,0,0,0,1.64,4.1,0,0,7.39,394.01,1.64,0,0,0,0,2.46,0,0,184.69,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,16.92,0,10.47,4.03,0,0,0,0,0,0.81,9.67,0,0.81,2.42,674.35,0.81,0,0,0,0.81,0.81,0,0,170,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,46.48,0,14.35,1.72,0.57,0,1.15,0,0,0,12.62,0,0,2.3,465.36,0,0,0,0,0,0,0,0,95.25,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,74.6,0,15.7,0.98,0,0,0.98,0,0,0,11.78,0.98,0,0,415.18,0,0,0,0,0,0,0,0,53,0,3.93,0,0.98
 72-82,0,0,0,0,0.98,0,107.98,0.98,12.76,0,0.98,0,1.96,0.98,0,0,16.69,0,0.98,0.98,373.03,0,0,0,0,0,0,0,0,25.52,0,5.89,1.96,0.98
 84-94,0,0,1.06,0,4.25,0,69.03,0,9.56,4.25,0,0,3.19,0,1.06,0,15.93,0,0,0,180.55,0,0,0,0,4.25,0,0,0,10.62,1.06,3.19,1.06,1.06
 96-106,0,0,0,0,3.28,0,49.18,1.09,9.84,2.19,1.09,2.19,1.09,0,0,0,6.56,0,0,1.09,175.95,0,1.09,2.19,0,0,0,0,0,10.93,1.09,2.19,0,0
108-118,0,0,0.77,0,1.53,1.53,42.89,0,11.49,5.36,0,0,3.83,0,0.77,0,6.13,0,0,0,181.53,0,0,0,0,0.77,0,0.77,0,3.06,0,3.06,0.77,1.53
120,0,0,1.96,0,3.92,0,45.08,0,9.8,1.96,0,0,1.96,0,0,0,7.84,0,0,0,182.26,0,0,0,0,1.96,0,0,0,11.76,0,0,0,1.96
