stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,40,7,32,1,0,10,1,1,2,0,1,0,0,0,28,0,18,398,3,3,2,10,0,2,0,49,3,0,34,107,0,0,0,0,0
 24-34,0,0,0,0,5.75,2.46,56.64,0.82,0,4.93,2.46,0,0,0,0.82,0,0.82,0,45.15,0,11.49,439.16,0,2.46,0.82,0,0,3.28,0,0,0.82,0.82,4.1,82.91,0,0,4.93,0,0.82
 36-46,0,0,0,0,2.42,0,91.85,0,0,7.25,0,0,0.81,0,0,0,0.81,0,38.67,0,8.06,229.62,0.81,0.81,1.61,0,0,0.81,0,0,0,0,0,55.59,0,0,5.64,0,1.61
 48-58,0,0,0,0,2.3,0.57,65.99,0,2.3,9.75,0,0,0.57,0,0,0,0,0,26.97,1.15,5.74,102.14,0,0.57,1.72,0,0,1.72,0,0,0.57,0,0,14.92,0,0,2.3,0,0.57
 60-70,0,0,0.98,0,2.94,0,58.89,0.98,0.98,11.78,0.98,0,0,0,0,0,0,0,22.58,0,4.91,58.89,0,0.98,0.98,0,0,1.96,0,0,0.98,0,0,7.85,0,0,1.96,0.98,0
 72-82,0,0,0,0,1.96,0,21.6,0,0.98,21.6,0,0,0,0,0,0,0,0,27.49,0,4.91,42.21,0,0.98,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0
 84-94,0,0,0,0,6.37,0,23.36,0,0,6.37,1.06,0,0,0,0,0,0,0,20.18,1.06,6.37,25.49,1.06,0,0,0,1.06,1.06,0,0,0,0,0,1.06,0,3.19,2.12,0,0
 96-106,0,0,0,0,2.19,0,12.02,0,0,7.65,0,0,0,0,0,0,0,0,14.21,0,3.28,22.95,0,1.09,2.19,0,0,2.19,0,0,1.09,0,0,4.37,1.09,0,4.37,0,0
108-118,0,0,0,0,3.06,0,11.49,0,0.77,14.55,0,0,0,0,0.77,1.53,0,0.77,16.85,0,3.83,33.7,0,0,1.53,0,0,1.53,0,0,0,0,0,0.77,0,0,3.06,0,0
120,0,0,0,0,5.88,0,17.64,0,3.92,19.6,0,0,0,1.96,0,0,0,0,7.84,0,5.88,19.6,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,1.96,0
