stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,13.14,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,144.58,0,0,0,65.72,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,6.29,12.59,0,0,0,3.15,0,0,0,0,0,0,0,176.23,3.15,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,5,1,1,0,2,0,0,0,1,0,0,3,0,3,31,1,0,0,0,0,0,0,1,4,9,0,0,0
 24-34,0,0,0,0.82,0,6.57,0,1.64,0,0,0.82,0,0,0.82,6.57,0,0.82,74.7,0,0,0,0,0,0,0,0,0,22.98,0,0,0
 36-46,0,0,0,0.81,0,15.31,0,3.22,0,0,0,0,0.81,0,7.25,0,0,114.41,0,0,0,0,0,0,0,0,0,25.78,0,0.81,0
 48-58,0,0,0,0.57,0,16.07,0,5.74,0,0,0,0,0,0,10.9,0.57,3.44,102.71,0,0.57,0,0,0,0,0,0,0,22.38,0,0.57,0
 60-70,0,0,0,0,0,26.5,0,3.93,0,0,0,0,0.98,0,15.7,0,0.98,78.52,0,0,0.98,0,0,0,0,0,0,15.7,0,0,0
 72-82,0,0,0,0.98,0,12.76,0,5.89,0,0,0,0.98,0,0.98,8.83,0.98,0,23.56,0,0,0,0,0.98,0.98,0,0,0,4.91,0,0,0
 84-94,0,0,0,0,0,5.31,1.06,3.19,0,0,0,0,0,0,4.25,0,0,23.36,0,0,1.06,0,0,0,0,0,0,2.12,3.19,2.12,0
 96-106,0,0,0,0,0,2.19,0,2.19,2.19,0,1.09,0,0,0,6.56,0,1.09,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,3.06,0.77,2.3,0,0,0,0,0,0,8.43,0,0,11.49,0,0,0,0,0,2.3,0,0.77,0,0.77,0,0,0.77
120,0,0,0,1.96,0,11.76,0,3.92,0,0,0,0,0,0,1.96,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,1.96,0
