stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,368.98,3979.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,1618.22,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,23.66,0,0,0,31.54,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,354.88,5.26,0,0,134.06,2.63,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,9.44,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,427.99,12.59,0,0,97.56,3.15,6.29,0,12.59,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,1,3,30,9,0,14,0,0,0,14,0,0,0,0,1,0,0,0,9,0,0,12,336,1,3,1,6,7,0,18,10,0,16,119,0,0,2,0,0
 24-34,0.82,0,1.64,3.28,16.42,8.21,0,95.22,0,3.28,0.82,13.95,0.82,0,1.64,0,2.46,0,2.46,0.82,53.36,0.82,0,18.88,675.56,2.46,13.13,4.93,0,22.98,0,0,4.1,0,7.39,144.47,0,0,4.1,0,0.82
 36-46,0,0,0,0,4.03,0.81,0,201.42,0,0.81,0,16.11,0,0,0,2.42,0.81,0.81,0.81,1.61,30.62,0,0.81,16.92,418.14,0,3.22,2.42,0,5.64,0,0,1.61,0,0.81,90.23,0,0,1.61,0,0
 48-58,0,0,0,0,4.59,1.15,0,254.77,1.15,0,0.57,10.33,0,0,1.15,0.57,0,1.72,1.15,0,44.76,0,1.72,7.46,182.47,0.57,1.72,1.72,0,3.44,0.57,0,1.15,0,0,36.72,0,0,4.02,0,0
 60-70,0,0,0,0,12.76,0,0,237.53,0,0,0.98,19.63,2.94,0,0,1.96,0,0,0,1.96,35.33,0,4.91,6.87,207.1,0,1.96,0.98,0,1.96,0,0,0,0,0,14.72,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,3.93,1.96,0,157.07,0,0,0.98,22.58,2.94,0,0,1.96,0.98,0,0.98,0.98,59.88,0,0.98,7.85,193.39,0.98,2.94,2.94,0,1.96,0,0,0,0,0,7.85,0,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,11.68,3.19,0,111.51,0,0,3.19,14.87,8.5,0,0,1.06,1.06,2.12,1.06,4.25,45.67,0,5.31,9.56,121.07,1.06,7.43,4.25,0,5.31,0,0,2.12,0,0,6.37,1.06,0,3.19,0,0
 96-106,0,0,0,0,13.11,1.09,1.09,71.04,0,0,1.09,18.58,3.28,0,0,5.46,2.19,1.09,0,1.09,37.16,0,2.19,3.28,96.17,0,9.84,7.65,0,6.56,1.09,0,2.19,0,0,5.46,0,0,3.28,0,1.09
108-118,0,0,0,0,7.66,6.13,0,74.3,0.77,0.77,0.77,15.32,1.53,0,0,5.36,0,1.53,1.53,3.06,23.74,0,0,4.6,129.45,0.77,3.83,2.3,0,3.83,1.53,0,0,0.77,0,3.06,2.3,0.77,6.89,1.53,0
120,0,0,0,1.96,5.88,7.84,0,56.83,0,1.96,0,19.6,0,0,0,9.8,0,1.96,0,1.96,21.56,1.96,1.96,3.92,139.14,0,0,1.96,0,1.96,0,0,0,0,0,5.88,0,0,1.96,0,0
