stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,52.71,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,30.65,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,23.66,49.95,0,0,147.21,0,0,0,31.54,0,0,0,0,0,0,741.3,13.14,0,210.3,0,0,0,0,0,0,0
 10-12,0,22.03,72.38,0,12.59,47.2,0,0,0,3.15,0,0,0,0,0,0,472.05,9.44,0,619.95,0,0,22.03,0,0,0,0
 14-21,0,0,0,11,2,1,0,0,0,0,0,1,7,0,0,3,41,1,0,3,0,30,0,7,10,0,0
 24-34,0,0,0.82,7.39,0,0,0,4.1,0,0,0,0,34.48,0,0,9.85,78.8,0,0,0,0,0,0,5.75,9.85,0,2.46
 36-46,0,0,0,1.61,0,0,0.81,12.89,3.22,0,0,0,35.45,0,0,5.64,58.01,0,0,0,0.81,0,0,0,9.67,0,0.81
 48-58,0,0,0,2.87,0,1.72,0,7.46,13.2,0,0,0,33.85,0,0,1.72,22.95,0,0,0,0,0,0,0,6.31,0,0.57
 60-70,0,0,0,0.98,0,1.96,0,2.94,17.67,0,0,0,34.35,0,0,1.96,6.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,3.93,0,7.85,55.95,0,0,0,97.18,0,0.98,0,6.87,0.98,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,2.12,0,4.25,0,8.5,11.68,0,0,0,31.86,0,0,1.06,3.19,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,3.28,0,2.19,0,5.46,8.74,0,0,0,32.79,0,0,0,0,1.09,1.09,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,2.3,0,3.83,6.13,0,0,0,19.15,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,3.92,0,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
