stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,2,0,5,0,0,0,3,2,0,0,0,1,0,0,0,0,6,0,0,3,69,1,1,0,2,0,8,2,0,1,27,0,0,1,0,0
 24-34,0,0,0,1.64,4.93,0,0,22.98,0,0,0,1.64,0,0,0.82,0,1.64,0.82,0.82,0,0,14.78,0,0,3.28,133.8,0,0.82,0,0,0,9.85,0,0.82,0,27.91,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,34.64,0.81,0.81,0,3.22,0,0,0,0,0,0,0,1.61,0,12.09,0,0,4.83,67.68,0,0.81,0,0,0,9.67,0,0,0,10.47,0,0,0,0,3.22
 48-58,0,0,0,0,2.87,0,0,39.02,0.57,0,0.57,5.74,1.72,0,0.57,0,0,0,0.57,0,0,13.2,0,0.57,4.59,43.04,0.57,0,0,0,0,3.44,0,0.57,0,2.87,0,0,1.72,0,1.72
 60-70,0,0,0,0,5.89,0,0,22.58,0,0,0,5.89,0,0,0,0,0.98,0,0,0.98,0,5.89,0,0,1.96,32.39,0,1.96,2.94,0,0,1.96,0,0,0,2.94,0.98,0,1.96,0.98,0
 72-82,0,0,0,0,2.94,0,0,13.74,0,0.98,1.96,14.72,2.94,0,0,2.94,0,0,1.96,0,0.98,12.76,2.94,0.98,5.89,36.32,0,0,0,0,0.98,7.85,0,0.98,0,1.96,0.98,0,3.93,0,0.98
 84-94,0,0,1.06,1.06,10.62,0,0,9.56,0,3.19,1.06,6.37,2.12,0,0,3.19,2.12,1.06,0,2.12,0,16.99,2.12,1.06,5.31,20.18,1.06,0,0,0,0,37.17,0,2.12,0,0,0,1.06,3.19,0,0
 96-106,0,0,0,0,8.74,0,0,10.93,0,2.19,1.09,5.46,3.28,0,1.09,6.56,2.19,0,0,0,0,19.67,1.09,1.09,2.19,17.49,0,1.09,2.19,0,1.09,33.88,0,0,0,0,1.09,1.09,3.28,0,0
108-118,0,0,0,0,14.55,1.53,1.53,14.55,0,6.13,0.77,6.13,3.83,0,0,3.06,0.77,0.77,1.53,2.3,0.77,21.45,0,1.53,3.83,28.34,0,0,0.77,0,0,39.83,0,0,0,0,0,0.77,1.53,0,1.53
120,0,0,3.92,0,19.6,0,1.96,11.76,1.96,3.92,0,7.84,5.88,0,1.96,0,3.92,1.96,0,0,1.96,23.52,0,1.96,9.8,19.6,3.92,1.96,1.96,0,3.92,39.2,0,0,0,0,0,0,5.88,0,1.96
