stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,4.93,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,1.61,0,0.81,7.25,0,0,0,0,0,0,0.81,5.64,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,1.72,0,0,0.57,0,4.59,0,0,0,0.57,0,0,0.57,2.3,0,0,1.72,0
 60-70,0,0,0,0,0,2.94,0,33.37,0,0,0,0,0,0,0,12.76,0,0,0,0,2.94,0,0.98,0,0,0,0,0,2.94,0,0,2.94,0
 72-82,0,0,0,0,0,13.74,0.98,24.54,1.96,0,0,0,0,0,0,76.57,0,3.93,0.98,0,18.65,0,0,0.98,0,0,0.98,0,0.98,0.98,0,3.93,0
 84-94,0,0,1.06,0,0,7.43,1.06,18.05,0,1.06,0,1.06,0,0,1.06,365.34,1.06,3.19,0,1.06,14.87,0,0,0,1.06,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,1.09,3.28,0,26.23,0,34.97,1.09,0,1.09,0,1.09,0,0,486.32,0,14.21,0,0,65.57,1.09,0,1.09,3.28,0,0,1.09,3.28,0,0,4.37,3.28
108-118,0,0.77,4.6,0,0.77,11.49,0,28.34,1.53,0,0,1.53,0,0.77,0,1248.52,0,8.43,0,0.77,69.7,0.77,2.3,0,6.13,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,15.68,0,25.48,1.96,0,0,0,0,0,0,503.66,1.96,5.88,0,0,45.08,0,0,1.96,3.92,0,0,0,0,0,0,1.96,0
