stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,periderm,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,2.42,0,0,0,1.61,0.81,0,0,0.81
 48-58,0,0,1.15,0,0,0,0.57,0,0,0,0
 60-70,0,0,1.96,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,9.82,0,2.94,0,0.98,0,0,0.98,0
 84-94,0,0,3.19,1.06,3.19,0,3.19,0,0,0,0
 96-106,0,0,5.46,0,7.65,1.09,1.09,0,0,1.09,0
108-118,0,0.77,2.3,0.77,9.19,0,0,0,0,3.06,0
120,0,0,1.96,0,5.88,0,0,0,0,0,0
