stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,12,0,0,0,0,0,0,0,5,1,0,0,0,3,0,2,0,0,0,3,4,0,2,0,0,5,0,2,0,0,1,6,0,0,8,0,0
 24-34,0,0,0,0,1.64,7.39,0,0,0,0,0,0,0,9.85,1.64,0,0,0,2.46,0,0.82,0.82,0,0.82,4.1,1.64,1.64,0,0,0,6.57,0,0,0,0.82,0,0.82,0,0,34.48,0,4.1
 36-46,0,0,0,0,0.81,1.61,0,0.81,0,0,0.81,0,0,15.31,0.81,0,0,0,2.42,1.61,6.45,0,2.42,0,3.22,0,2.42,0,0,0,3.22,0,0,0,0,0,0,0,0,17.72,0,2.42
 48-58,0,0,0,0,0.57,1.15,0,4.59,0.57,0,0,0,0,28.12,1.15,0,0,0,1.15,0,4.59,0,5.16,0,4.02,0,1.15,0,0,2.3,3.44,0,0,0,0,0,0.57,0,1.15,29.84,0,8.03
 60-70,0,0,0,0,0,0,0,7.85,0.98,0,0,0.98,2.94,12.76,0,0,0.98,0,0,0.98,1.96,0,8.83,0.98,4.91,0,0.98,0,0,0.98,3.93,0,0,0,0,0,0.98,2.94,6.87,4.91,4.91,1.96
 72-82,0,0,6.87,0,6.87,3.93,0,15.71,0,0,0,5.89,23.56,35.34,2.94,3.93,0,1.96,0.98,0,20.61,0.98,4.91,1.96,26.5,0,6.87,0.98,0,3.93,2.94,0,0,0,0,0,0.98,17.67,7.85,36.32,15.71,10.8
 84-94,0,0,5.31,0,7.43,2.12,0,13.81,0,0,1.06,2.12,29.74,26.55,6.37,5.31,2.12,2.12,1.06,2.12,6.37,0,18.05,0,8.5,0,4.25,1.06,0,2.12,3.19,0,0,1.06,0,0,0,114.7,9.56,21.24,27.61,2.12
 96-106,0,0,16.39,1.09,39.34,8.74,0,17.49,0,3.28,0,5.46,110.38,52.46,9.84,19.67,0,16.39,3.28,3.28,13.11,1.09,13.11,0,54.64,0,7.65,4.37,0,10.93,19.67,0,0,0,0,0,0,186.88,10.93,57.92,37.16,9.84
108-118,0,0,9.19,1.53,33.7,0,0.77,9.96,0,2.3,1.53,3.06,155.49,22.21,11.49,16.09,0,5.36,1.53,5.36,5.36,3.06,9.19,0,48.26,0,4.6,1.53,0,8.43,8.43,0,0,0,0.77,0,1.53,206.81,0.77,45.19,25.28,6.13
120,0,0,11.76,0,52.91,3.92,0,5.88,1.96,9.8,1.96,0,166.58,29.4,19.6,5.88,0,13.72,3.92,0,3.92,0,7.84,0,45.08,0,0,5.88,0,5.88,13.72,0,0,0,0,0,0,80.35,5.88,41.16,37.24,11.76
