stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,3,7,1,10,0,0,1,0,0,0,0,0,4,0,4,64,1,1,0,1,11,0,8,19,1,0
 24-34,0,1.64,0.82,4.93,0.82,0,0,0,1.64,0.82,0,0,3.28,0,2.46,32.83,0,0.82,0,4.1,0,0,4.93,4.1,0.82,0
 36-46,0,0,0.81,7.25,0.81,0,0,0.81,0,0,0,0.81,2.42,0,0.81,45.12,0,0,0,1.61,0,0,0,4.03,0.81,0
 48-58,0,0,0,11.48,0,0.57,0,0,0,0,0,0,6.31,0,1.72,17.79,0,0,0,1.15,0,0,0,5.74,1.15,0
 60-70,0,0,0,21.59,0,2.94,0,0,0,0,0,0,3.93,0,0.98,28.46,0,0.98,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,25.52,0,2.94,0.98,0,0,0,0.98,0,7.85,0.98,0,31.41,0,0.98,0.98,0,0,0,0,2.94,0,0
 84-94,0,3.19,2.12,24.43,1.06,2.12,0,0,0,0,0,1.06,6.37,0,0,21.24,0,1.06,0,1.06,0,1.06,0,4.25,0,0
 96-106,0,1.09,0,15.3,0,1.09,0,0,0,0,0,0,5.46,0,3.28,17.49,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,2.3,0,5.36,0,6.13,0,0,0,0,0,0,3.06,0,0.77,16.85,0,1.53,0,1.53,0,0,0,0,1.53,0
120,0,1.96,1.96,5.88,0,1.96,0,0,0,0,0,0,3.92,0,0,23.52,0,0,0,1.96,0,0,0,1.96,0,0
