stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.03,3.15,0,3.15,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,0,9,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0.98,0.98,0,1.96,0,4.91,1.96,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,5.31,1.06,0,0,0,0,0,0,0,1.06
 96-106,2.19,1.09,1.09,0,0,18.58,0,1.09,0,2.19,0,1.09,0,0,1.09
108-118,0.77,0.77,0.77,0,0,34.47,2.3,1.53,0.77,4.6,0,0,0,0,2.3
120,0,0,0,0,0,33.32,1.96,0,0,0,0,5.88,0,0,0
